Study ID	Max TMB	Min TMB	Median TMB
sarc_tcga_pub	23.73	0.07	1.10
sclc_cancercell_gardner_2017	64.77	6.63	50.02
sclc_clcgp	27.73	1.33	6.37
sclc_jhu	25.10	1.03	5.32
sclc_ucologne_2015	24.43	1.17	7.80
skcm_broad	162.70	1.17	11.30
skcm_broad_brafresist_2012	194.53	1.03	15.18
skcm_broad_dfarber	51.03	0.67	9.40
skcm_dfci_2015	205.93	0.37	7.52
skcm_mskcc_2014	112.00	0.03	12.75
skcm_tcga	1057.20	0.23	9.63
skcm_tcga_pan_can_atlas_2018	1052.20	0.20	14.88
skcm_tcga_pub_2015	1031.53	0.23	9.52
skcm_yale	121.83	0.03	3.90
stad_oncosg_2018	88.40	0.13	2.93
stad_pfizer_uhongkong	54.70	0.37	2.87
stad_tcga	218.00	0.13	4.00
stad_tcga_pan_can_atlas_2018	329.93	0.07	3.90
stad_tcga_pub	217.97	0.03	4.03
stad_uhongkong	35.07	0.13	2.38
stad_utokyo	7.97	0.23	1.70
stes_tcga_pub	218.00	0.07	4.98
tet_nci_2014	2.40	0.03	0.50
tgct_tcga	14.53	0.53	1.87
tgct_tcga_pan_can_atlas_2018	1.93	0.07	0.40
thca_tcga	2.23	0.03	0.40
thca_tcga_pan_can_atlas_2018	15.83	0.03	0.33
thca_tcga_pub	2.10	0.03	0.37
thym_tcga	21.50	0.03	0.30
thym_tcga_pan_can_atlas_2018	20.73	0.03	0.47
uccc_nih_2017	16.47	0.13	1.08
ucec_tcga	350.47	0.10	1.87
ucec_tcga_pan_can_atlas_2018	859.37	0.23	2.57
ucec_tcga_pub	350.47	0.10	1.87
ucs_jhu_2014	188.13	0.13	1.48
ucs_tcga	129.07	1.00	1.83
ucs_tcga_pan_can_atlas_2018	122.40	0.90	1.57
um_qimr_2016	1.70	0.10	0.37
utuc_cornell_baylor_mdacc_2019	13.13	0.13	2.70
uvm_tcga	13.27	0.23	0.50
uvm_tcga_pan_can_atlas_2018	13.07	0.13	0.40
vsc_cuk_2018	9.80	0.87	4.33
wt_target_2018_pub	2.47	0.03	0.17
