entrez_id	hugo_gene_symbol	type
101929231	LOC101929231	ncRNA
494127	LOC494127	pseudo
643711	LOC643711	pseudo
101926962	LOC101926962	ncRNA
101928700	LOC101928700	ncRNA
101927746	LOC101927746	ncRNA
101927391	LOC101927391	ncRNA
653160	LOC653160	ncRNA
101929526	LOC101929526	ncRNA
100130880	LOC100130880	ncRNA
101926963	LOC101926963	ncRNA
101927987	LOC101927987	ncRNA
645513	LOC645513	pseudo
729603	LOC729603	pseudo
101927322	LOC101927322	protein-coding
100129997	LOC100129997	pseudo
101930593	LOC101930593	ncRNA
100217367	LOC100217367	pseudo
101927086	LOC101927086	ncRNA
100130170	LOC100130170	pseudo
391465	LOC391465	pseudo
101928140	LOC101928140	ncRNA
541472	LOC541472	ncRNA
101927248	LOC101927248	ncRNA
441487	LOC441487	pseudo
91370	LOC91370	ncRNA
400750	LOC400750	pseudo
647275	LOC647275	pseudo
102724548	LOC102724548	ncRNA
102724659	LOC102724659	ncRNA
284561	LOC284561	ncRNA
100289047	LOC100289047	pseudo
100124334	LOC100124334	pseudo
645357	LOC645357	pseudo
102724009	LOC102724009	ncRNA
101928324	LOC101928324	ncRNA
129656	LOC129656	pseudo
392529	LOC392529	pseudo
441511	LOC441511	pseudo
100113397	LOC100113397	pseudo
402182	LOC402182	pseudo
100287912	LOC100287912	pseudo
286456	LOC286456	pseudo
100130134	LOC100130134	pseudo
101927139	LOC101927139	ncRNA
644158	LOC644158	pseudo
284577	LOC284577	ncRNA
391744	LOC391744	pseudo
391048	LOC391048	pseudo
100129483	LOC100129483	pseudo
392543	LOC392543	pseudo
101928942	LOC101928942	ncRNA
100128379	LOC100128379	pseudo
100506679	LOC100506679	ncRNA
100505635	LOC100505635	ncRNA
644261	LOC644261	pseudo
441488	LOC441488	pseudo
100128546	LOC100128546	pseudo
100129843	LOC100129843	pseudo
100130680	LOC100130680	pseudo
728825	LOC728825	pseudo
100506473	LOC100506473	ncRNA
728048	LOC728048	pseudo
101927168	LOC101927168	ncRNA
100131200	LOC100131200	pseudo
100129133	LOC100129133	pseudo
339192	LOC339192	ncRNA
100130783	LOC100130783	pseudo
727930	LOC727930	pseudo
653155	LOC653155	pseudo
101927256	LOC101927256	ncRNA
643888	LOC643888	pseudo
101927943	LOC101927943	ncRNA
285706	LOC285706	pseudo
100287985	LOC100287985	pseudo
102724555	LOC102724555	ncRNA
101929595	LOC101929595	ncRNA
401002	LOC401002	pseudo
391020	LOC391020	pseudo
101929628	LOC101929628	ncRNA
100130649	LOC100130649	pseudo
102724919	LOC102724919	ncRNA
653080	LOC653080	pseudo
730268	LOC730268	pseudo
644776	LOC644776	pseudo
100288125	LOC100288125	pseudo
440292	LOC440292	pseudo
729057	LOC729057	pseudo
101927417	LOC101927417	ncRNA
643896	LOC643896	pseudo
199882	LOC199882	pseudo
646976	LOC646976	ncRNA
646127	LOC646127	pseudo
647002	LOC647002	pseudo
101929592	LOC101929592	ncRNA
100128964	LOC100128964	pseudo
642692	LOC642692	pseudo
102723582	LOC102723582	ncRNA
100132824	LOC100132824	pseudo
100128268	LOC100128268	pseudo
159007	LOC159007	pseudo
100133261	LOC100133261	pseudo
105370629	LOC105370629	ncRNA
729056	LOC729056	pseudo
101929897	LOC101929897	ncRNA
100128775	LOC100128775	pseudo
644436	LOC644436	pseudo
100128808	LOC100128808	pseudo
643371	LOC643371	pseudo
340569	LOC340569	pseudo
101928134	LOC101928134	ncRNA
402425	LOC402425	pseudo
105372352	LOC105372352	ncRNA
645773	LOC645773	pseudo
390997	LOC390997	pseudo
158781	LOC158781	pseudo
79999	LOC79999	ncRNA
392536	LOC392536	pseudo
100286925	LOC100286925	ncRNA
100288788	LOC100288788	pseudo
100130682	LOC100130682	pseudo
728519	LOC728519	pseudo
646050	LOC646050	pseudo
643043	LOC643043	pseudo
400061	LOC400061	pseudo
100132621	LOC100132621	pseudo
102724450	LOC102724450	ncRNA
650181	LOC650181	pseudo
100128355	LOC100128355	pseudo
101929721	LOC101929721	ncRNA
101927000	LOC101927000	ncRNA
100288533	LOC100288533	pseudo
100049716	LOC100049716	ncRNA
100128027	LOC100128027	pseudo
101927447	LOC101927447	ncRNA
100128345	LOC100128345	pseudo
101928659	LOC101928659	ncRNA
645978	LOC645978	pseudo
646696	LOC646696	pseudo
100130488	LOC100130488	pseudo
101927138	LOC101927138	ncRNA
392442	LOC392442	pseudo
101926967	LOC101926967	ncRNA
100289061	LOC100289061	ncRNA
729317	LOC729317	pseudo
101927824	LOC101927824	ncRNA
100131556	LOC100131556	pseudo
387820	LOC387820	pseudo
727919	LOC727919	pseudo
100129955	LOC100129955	pseudo
729835	LOC729835	pseudo
100130724	LOC100130724	pseudo
100130102	LOC100130102	pseudo
286453	LOC286453	pseudo
645314	LOC645314	pseudo
646745	LOC646745	pseudo
100505824	LOC100505824	ncRNA
100130607	LOC100130607	pseudo
101928433	LOC101928433	ncRNA
391334	LOC391334	pseudo
285095	LOC285095	ncRNA
100133211	LOC100133211	pseudo
101929901	LOC101929901	ncRNA
100129956	LOC100129956	pseudo
388734	LOC388734	pseudo
389465	LOC389465	pseudo
646794	LOC646794	pseudo
644310	LOC644310	pseudo
100505797	LOC100505797	ncRNA
101928963	LOC101928963	ncRNA
101928144	LOC101928144	ncRNA
440973	LOC440973	pseudo
101929529	LOC101929529	ncRNA
401602	LOC401602	pseudo
100131284	LOC100131284	pseudo
645938	LOC645938	pseudo
392439	LOC392439	pseudo
100124401	LOC100124401	pseudo
102724532	LOC102724532	ncRNA
642661	LOC642661	pseudo
101928809	LOC101928809	ncRNA
646890	LOC646890	pseudo
100101247	LOC100101247	pseudo
100287074	LOC100287074	pseudo
100130766	LOC100130766	pseudo
101928696	LOC101928696	ncRNA
729674	LOC729674	pseudo
102723833	LOC102723833	ncRNA
100129375	LOC100129375	pseudo
158948	LOC158948	pseudo
391448	LOC391448	pseudo
100129724	LOC100129724	ncRNA
389842	LOC389842	pseudo
644295	LOC644295	pseudo
402096	LOC402096	pseudo
727874	LOC727874	pseudo
101928346	LOC101928346	ncRNA
100216355	LOC100216355	pseudo
100289303	LOC100289303	pseudo
392477	LOC392477	pseudo
102724927	LOC102724927	ncRNA
266694	LOC266694	pseudo
392539	LOC392539	pseudo
101927969	LOC101927969	ncRNA
101928707	LOC101928707	ncRNA
646555	LOC646555	pseudo
644924	LOC644924	pseudo
390617	LOC390617	pseudo
100129996	LOC100129996	pseudo
653406	LOC653406	pseudo
392426	LOC392426	pseudo
283435	LOC283435	ncRNA
100130026	LOC100130026	pseudo
100506571	LOC100506571	ncRNA
101928716	LOC101928716	ncRNA
100996288	LOC100996288	ncRNA
101928284	LOC101928284	ncRNA
100291105	LOC100291105	ncRNA
643605	LOC643605	pseudo
392456	LOC392456	pseudo
391359	LOC391359	pseudo
101927596	LOC101927596	ncRNA
266683	LOC266683	pseudo
104968399	LOC104968399	ncRNA
391383	LOC391383	pseudo
100128540	LOC100128540	pseudo
402076	LOC402076	pseudo
730069	LOC730069	pseudo
392489	LOC392489	pseudo
102724484	LOC102724484	ncRNA
644563	LOC644563	pseudo
100288663	LOC100288663	pseudo
442042	LOC442042	pseudo
100127912	LOC100127912	pseudo
101929384	LOC101929384	ncRNA
391566	LOC391566	pseudo
105376671	LOC105376671	ncRNA
101928673	LOC101928673	ncRNA
100132615	LOC100132615	pseudo
100287928	LOC100287928	pseudo
100507480	LOC100507480	ncRNA
101929464	LOC101929464	ncRNA
101929679	LOC101929679	ncRNA
692247	LOC692247	ncRNA
100507388	LOC100507388	ncRNA
642635	LOC642635	pseudo
101927854	LOC101927854	ncRNA
100129818	LOC100129818	pseudo
101927877	LOC101927877	ncRNA
100132658	LOC100132658	pseudo
129522	LOC129522	pseudo
100130403	LOC100130403	pseudo
100506885	LOC100506885	ncRNA
642975	LOC642975	pseudo
727713	LOC727713	pseudo
101927809	LOC101927809	ncRNA
648927	LOC648927	pseudo
102724094	LOC102724094	ncRNA
100131069	LOC100131069	pseudo
100101246	LOC100101246	pseudo
139952	LOC139952	pseudo
644265	LOC644265	pseudo
728602	LOC728602	pseudo
728317	LOC728317	pseudo
391834	LOC391834	pseudo
101927640	LOC101927640	ncRNA
100128122	LOC100128122	pseudo
730043	LOC730043	pseudo
100287757	LOC100287757	pseudo
101928000	LOC101928000	ncRNA
100132849	LOC100132849	pseudo
646644	LOC646644	pseudo
100288560	LOC100288560	pseudo
105376072	LOC105376072	ncRNA
101929459	LOC101929459	ncRNA
100131078	LOC100131078	pseudo
100128929	LOC100128929	pseudo
101929704	LOC101929704	ncRNA
100131448	LOC100131448	pseudo
100505534	LOC100505534	ncRNA
644906	LOC644906	pseudo
100132736	LOC100132736	pseudo
442309	LOC442309	pseudo
100506175	LOC100506175	ncRNA
101928605	LOC101928605	ncRNA
101928521	LOC101928521	ncRNA
101928271	LOC101928271	ncRNA
442017	LOC442017	pseudo
100996724	LOC100996724	pseudo
100507551	LOC100507551	ncRNA
100129851	LOC100129851	pseudo
550644	LOC550644	pseudo
642669	LOC642669	pseudo
246784	LOC246784	pseudo
101929243	LOC101929243	ncRNA
105371184	LOC105371184	pseudo
100288151	LOC100288151	pseudo
646227	LOC646227	pseudo
100130209	LOC100130209	pseudo
101928397	LOC101928397	ncRNA
643916	LOC643916	pseudo
643058	LOC643058	pseudo
645529	LOC645529	pseudo
440514	LOC440514	pseudo
653588	LOC653588	pseudo
391765	LOC391765	pseudo
102723932	LOC102723932	ncRNA
100131604	LOC100131604	ncRNA
442063	LOC442063	pseudo
105616981	LOC105616981	ncRNA
100507554	LOC100507554	ncRNA
644422	LOC644422	pseudo
643784	LOC643784	pseudo
101929959	LOC101929959	protein-coding
728535	LOC728535	pseudo
100129001	LOC100129001	pseudo
392538	LOC392538	pseudo
100130704	LOC100130704	pseudo
100128360	LOC100128360	pseudo
101928461	LOC101928461	ncRNA
645388	LOC645388	pseudo
442389	LOC442389	pseudo
442058	LOC442058	pseudo
100128048	LOC100128048	pseudo
100130299	LOC100130299	pseudo
390937	LOC390937	protein-coding
100130176	LOC100130176	pseudo
105375273	LOC105375273	ncRNA
102724297	LOC102724297	ncRNA
139957	LOC139957	pseudo
101928943	LOC101928943	ncRNA
100132057	LOC100132057	pseudo
100129140	LOC100129140	pseudo
101929272	LOC101929272	ncRNA
100128738	LOC100128738	pseudo
441904	LOC441904	pseudo
100129661	LOC100129661	pseudo
100131482	LOC100131482	pseudo
645180	LOC645180	pseudo
646639	LOC646639	pseudo
101930010	LOC101930010	ncRNA
102723885	LOC102723885	ncRNA
392508	LOC392508	pseudo
152048	LOC152048	ncRNA
100130171	LOC100130171	pseudo
729859	LOC729859	pseudo
100132076	LOC100132076	pseudo
151457	LOC151457	pseudo
139061	LOC139061	pseudo
403323	LOC403323	ncRNA
102723899	LOC102723899	protein-coding
100131617	LOC100131617	pseudo
390714	LOC390714	other
649024	LOC649024	pseudo
100131852	LOC100131852	pseudo
643167	LOC643167	pseudo
100128759	LOC100128759	pseudo
101928098	LOC101928098	ncRNA
401679	LOC401679	pseudo
100131072	LOC100131072	pseudo
392485	LOC392485	pseudo
101927913	LOC101927913	ncRNA
730222	LOC730222	pseudo
101927693	LOC101927693	ncRNA
100132498	LOC100132498	pseudo
100128386	LOC100128386	ncRNA
101929095	LOC101929095	ncRNA
347422	LOC347422	pseudo
100130620	LOC100130620	pseudo
100287497	LOC100287497	pseudo
131054	LOC131054	pseudo
101928033	CTD-2270F17.1	ncRNA
101929215	CTD-2201I18.1	ncRNA
340096	H3.X	pseudo
474174	SGCEP	pseudo
105373004	LL22NC03-104C7.1	ncRNA
150478	BA395L14.12	pseudo
644093	HCG2040054	ncRNA
101928235	CTB-41I6.1	ncRNA
102724594	LOC102724594	protein-coding
102724652	LOC102724652	protein-coding
102724023	LOC102724023	protein-coding
102723475	LOC102723475	protein-coding
102724560	LOC102724560	protein-coding
102724428	LOC102724428	protein-coding
102723451	LOC102723451	protein-coding
107983987	LOC107983987	protein-coding
102723553	LOC102723553	protein-coding
