PANEL_NAME	NUM_OF_GENES	CDS_L	STUDY_ID	Max TMB	Min TMB	Median TMB
			thyroid_mskcc_2016	23.553	0	0.167
			tmb_mskcc_2018	210.636	0	5.961
			ucec_msk_2018	434.188	0	5.608
			usarc_msk_2020	74.022	0	2.243
			utuc_msk_2019	490.29	0	5.809
			utuc_mskcc_2015	473.294	0	6.729
			utuc_pdx_msk_2019	410.343	0	10.929
						
data_gene_panel_impact410.txt	410	1005663	cfdna_msk_2019	512.582	0.994	7.108
			blca_msk_tcga_2020	135.707	0	5.933
			blca_plasmacytoid_mskcc_2016	130.1	0.994	7.9
			blca_nmibc_2017	74.517	0	8.942
			breast_alpelisib_2020	352.355	0	10.213
			chol_msk_2018	47.691	0	2.981
			crc_msk_2017	354.703	0	6.955
			breast_msk_2018	14.833	0.033	0.133
			egc_msk_2017	62.595	0	4.968
			gbc_msk_2018	43.717	0	5.961
			gct_msk_2020	9.39	0.267	1.133
			glioma_msk_2018	262.301	0	5.961
			glioma_mskcc_2019	455.053	0	3.974
			hcc_msk_venturaa_2018	12.337	0	3.365
			hcc_mskimpact_2018	11.477	0	3.974
			histiocytosis_cobi_msk_2019	4.667	0.033	0.183
			hnc_mskcc_2016	102.337	0	2.981
			lung_msk_2017	97.575	0	5.961
			lung_msk_pdx	51.665	0	7.949
			msk_impact_2017	452.072	0	3.974
			nsclc_pd1_msk_2018	97.575	0.883	7.898
			odg_msk_2017	53.653	1.987	6.345
			prad_cdk12_mskcc_2020	17.945	0	2.243
			prad_mcspc_mskcc_2020	67.094	0	2.648
			rectal_msk_2019	344.767	0	5.961
			summit_2018	75.511	0.994	6.842
			tmb_mskcc_2018	210.636	0	5.961
			ucec_msk_2018	434.188	0	5.608
			usarc_msk_2020	74.022	0	2.243
			utuc_msk_2019	490.29	0	5.809
			utuc_pdx_msk_2019	410.343	0	10.929
			mds_mskcc_2020	130.683	0	6.11
data_gene_panel_impact468.txt	469	1131927	breast_msk_2018	14.833	0.033	0.133
			crc_msk_2017	354.703	0	6.955
			egc_msk_2017	62.595	0	4.968
			egc_trap_msk_2020	10.594	0	4.414
			glioma_mskcc_2019	455.053	0	3.974
			hcc_mskimpact_2018	11.477	0	3.974
			lung_msk_pdx	51.665	0	7.949
			nsclc_pd1_msk_2018	97.575	0.883	7.898
			odg_msk_2017	53.653	1.987	6.345
			prad_cdk12_mskcc_2020	17.945	0	2.243
			prad_mcspc_mskcc_2020	67.094	0	2.648
			prad_msk_2019	9.711	0	1.324
			rectal_msk_2019	344.767	0	5.961
			tmb_mskcc_2018	210.636	0	5.961
			usarc_msk_2020	74.022	0	2.243
			utuc_msk_2019	490.29	0	5.809
			utuc_pdx_msk_2019	410.343	0	10.929
			mds_mskcc_2020	130.683	0	6.11
						
data_gene_panel_mds_mskcc_2020_Papaemmanuil_NEJM_2016_MDS_2013_panel.txt	112	327306	mds_mskcc_2020	130.683	0	6.11
data_gene_panel_metabric_173.txt	173	755892	brca_metabric	105.835	0	6.615
data_gene_panel_mskcc_blca_15.txt	15	25173	blca_mskcc_solit_2012	198.626	0	39.725
data_gene_panel_myb_impact341.txt	345	894399	acc_tcga	93.689	0	4.519
data_gene_panel_myb_impact410.txt	414	1008843	acc_tcga	93.689	0	4.519
data_gene_panel_myb_impact468.txt	472	1132113	acc_tcga	93.689	0	4.519
data_gene_panel_novartis_broad_1651.txt	4049	8945175	cellline_ccle_broad	145.671	0	4.118
data_gene_panel_nsclc_unito_2016_panel.txt	29	87822	nsclc_unito_2016	204.96	11.387	22.773
data_gene_panel_prad_mskcc_sequenom.txt	22	54336	prad_mskcc	133.07	0	0
data_gene_panel_prad_mskcc_sequenom_sanger.txt	146	378288	prad_mskcc	133.07	0	0
data_gene_panel_rbl_cfdna_msk_2020.txt	2	4176	rbl_cfdna_msk_2020	339080.46	87404.215	295617.816
data_gene_panel_rdtb49.txt	49	130086	mds_mskcc_2020	130.683	0	6.11
data_gene_panel_rdts30.txt	28	67419	histiocytosis_cobi_msk_2019	4.667	0.033	0.183
data_gene_panel_sarc_mskcc.txt	226	532881	sarc_mskcc	5.569	0	0
data_gene_panel_ucla_1202.txt	1202	3968871	escc_ucla_2014	15.495	0	2.999
data_gene_panel_wustl_dfci_623.txt	623	1369923	luad_tsp	32.581	0.033	2.896
data_gene_panel_impact279.txt	279	786315	scco_mskcc	5.087	0	1.908
data_gene_panel_AmpliSeq.txt	8	16431	mnm_washu_2016	182.582	0	1.717
data_gene_panel_RMG.txt	264	1159287	mnm_washu_2016	182.582	0	1.717
data_gene_panel_agilent.txt	232	593784	all_stjude_2015	23.461	0	1.676
data_gene_panel_archer_heme.txt	200	421461	histiocytosis_cobi_msk_2019	4.667	0.033	0.183
data_gene_panel_archer_solid.txt	62	170265	histiocytosis_cobi_msk_2019	4.667	0.033	0.183
data_gene_panel_baitv3.txt	275	777681	skcm_vanderbilt_mskcc_2015	66.865	1.286	12.859
data_gene_panel_baitv4.txt	279	786315	skcm_vanderbilt_mskcc_2015	66.865	1.286	12.859
data_gene_panel_baitv5.txt	275	777681	skcm_vanderbilt_mskcc_2015	66.865	1.286	12.859
data_gene_panel_bcc_unige_2016_cancer_panel.txt	387	1020249	bcc_unige_2016	235.237	0	44
data_gene_panel_cmo_hemepact_v3.txt	585	1457970	lymphoma_cellline_msk_2020	45.942	4.8	21.942
data_gene_panel_dfci_504.txt	504	1378602	cscc_dfarber_2015	165.84	6.518	33.313
data_gene_panel_fmi_d2.txt	622	1538601	acc_tcga	93.689	0	4.519
data_gene_panel_fmi_r2.txt	622	1538601	acc_tcga	93.689	0	4.519
data_gene_panel_fmi_t5a.txt	323	881130	acc_tcga	93.689	0	4.519
data_gene_panel_fmi_t7.txt	429	1180806	acc_tcga	93.689	0	4.519
data_gene_panel_gbm_tcga_pub.txt	601	1261128	gbm_tcga_pub	53.902	0	1.585
data_gene_panel_glioma_mskcc_2019_fmi_t5.txt	326	888702	glioma_mskcc_2019	455.053	0	3.974
data_gene_panel_glioma_mskcc_2019_fmi_t7.txt	434	1193556	glioma_mskcc_2019	455.053	0	3.974
data_gene_panel_grail_cfdna_508.txt	508	1261359	cfdna_msk_2019	512.582	0.994	7.108
data_gene_panel_guardant_73.txt	73	195825	breast_alpelisib_2020	352.355	0	10.213
data_gene_panel_heme_hotspot.txt	204	633888				
data_gene_panel_glioma_dfci_2020_dfci_oncopanel1.txt	304	731229				
data_gene_panel_glioma_dfci_2020_dfci_oncopanel2.txt	326	816393				
data_gene_panel_glioma_dfci_2020_dfci_oncopanel3.txt	447	1108212				
