outdated_hugo_symbol	new_hugo_symbol
H2AL1QP	H2AL1Q
H2AL1RP	H2AL3
H2AL1SP	H2AL1MP
H2AW	H2AC25
H2BE1	H2BK1
H2BS1	H2BC12L
H2BU1	H2BC26
H2BU2P	H2BC27P
H3-2	H3-7
H4-16	H4C16
HDGFRP2	HDGFL2
HNRNPA1P48	HNRNPA1L3
HRAT5	PDCD6-DT
HSPB11 	 IFT25
IGBP1P2	IGBP1C
KAZ	KAZN
KDELC1P1	POGLUT2P1
KIAA0100	BLTP2
KIAA0754	MACF1
KIAA0895	MATCAP2
KIAA0895L	MATCAP1
KIAA1107	BTBD8
KIAA1109	BLTP1
KIAA1841	SANBR
KRTAP12-6P	KRTAP12-5P
LINC00032 	 REXO6P
LINC00167	PRDM10-DT
LINC00211	PIRAT1
LINC00266-1	SEPTIN14P20
LINC00266-3	SEPTIN14P6
LINC00266-4P	SEPTIN14P23
LINC00271	AHI1-DT
LINC00337	ICMT-DT
LINC00350 	 TPTE2-AS1
LINC00476	ERCC6L2-AS1
LINC00535	CIBAR1-DT
LINC00565	SWINGN
LINC00610	COMMD9
LINC00634	SMIM45
LINC00643	SERTAD4BP
LINC00653	LCDR
LINC00672 	 LASP1NB
LINC00866	GOLGA7B-DT
LINC00884	ATP13A3-DT
LINC00888 	 SNHG33
LINC00893	EOLA1-DT
LINC00894	EOLA2-DT
LINC01006	RNF32-DT
LINC01136	BTG2-DT
LINC01137	ZC3H12A-DT
LINC01146	HISLA
LINC01184	SLC12A2-DT
LINC01185	REL-DT
LINC01251	UBE2R2-AS1
LINC01351	BRINP3-DT
LINC01529	TEX14BP
LINC01534	ZNF567-DT
LINC01693	NTRAS
LINC01715	TAF12-DT
LINC01771	LRP8-DT
LINC01869	TMEM277P
LINC01921 	 TESHL
LINC01952	H2AZ2-DT
LINC02062	CHD1-DT
LINC02085	RDUR
LINC02158	CCDC13-AS2
LINC02163	NIHCOLE
LINC02206 	 SMASR
LINC02246 	 ASMER1
LINC02467	LINC02359
LINC02495	JAKMIP1-DT
LINC02528 	 SIMALR
LINC02586	KCNC4-DT
LINC02590	LINC01819
LINC02618	LRRC78P
LINC02776	RC3H1-DT
LINC02921	LINC01013
LINC02962	CCDST
LINC02969	APPAT
LINC03038 	 HEPFAL
LMLN2	CIROP
LOC100128108	UBE2Q2P13
LOC100128242	GRAMD1B
LOC100128374	LOC100127955
LOC100128529	LOC93429
LOC100128651	C4orf50
LOC100129484	LINC02983
LOC100130093	SNAP47
LOC100130172	FAM13B-AS1
LOC100130345	CDHR18P
LOC100130373	EPB41L1-AS1
LOC100130386	LINC00552
LOC100130557	NFYC-AS1
LOC100131190	MX2
LOC100132202	GOLGA6L25P
LOC100132731	CFAP92
LOC100133130	PARGP1
LOC100133957	UXT-AS1
LOC100287015	MCPH1-DT
LOC100287413	GLYATL1
LOC100287632	SELENOKP3
LOC100287896	LIPT2-AS1
LOC100288778	WASH8P
LOC100288866	NGFR-AS1
LOC100294341	ARL17A
LOC100505549	ATP8B1-AS1
LOC100506136	SEM1
LOC100506388	RPH3AL-AS1
LOC100507283	MSANTD2-AS1
LOC100507387	FAM153B
LOC100509620	AQP7B
LOC100996447	MLF1-DT
LOC100996741	LINC01145
LOC100996761	LOC653513
LOC100996842	MPDU1-AS1
LOC101060179	PRDM11
LOC101926913	ERICH2-DT
LOC101927016	LOC647264
LOC101927267	TROAP-AS1
LOC101927359	PCDH10-DT
LOC101927502	TLE1-DT
LOC101928035	PSMD7-DT
LOC101928189	RSRP1
LOC101928422	TCAF2
LOC101928436	RNPC3-DT
LOC101928481	DCAF8L2
LOC101928737	ZCCHC14-DT
LOC101928879	COMMD5P1
LOC101929066	ASAH1-AS1
LOC101929099	CD101-AS1
LOC101929122	FNDC1-AS1
LOC101929210	SMARCAD1-DT
LOC101929304	SNX29
LOC101929353	DDIT4L-AS1
LOC101929709	RIPK2-DT
LOC101929728	SLC35E4
LOC101929747	ERAP1
LOC102723729	GPAT4-AS1
LOC102724187	UPK3BL1
LOC102724205	TCP10L2
LOC102724265	LINC02953
LOC102724385	LINC01669
LOC102724488	SYT15B
LOC102724957	LINC02751
LOC102724991	PPP2R3B
LOC102724993	NPIPA2
LOC105369230	HLA-DRB1
LOC105370361	LINC03032
LOC134466	ZNF300P1
LOC146336	SSTR5-AS1
LOC150051	TIAM1-AS1
LOC150786	RAB6D
LOC152217	NCBP2AS2
LOC200030	NBPF11
LOC220429	CTAGE10P
LOC220594	USP32P2
LOC257152	LOC105369147
LOC283278	PLEKHA7
LOC283392	TRHDE-AS1
LOC283454	HRK
LOC283485	LOC105370361
LOC283688	LINC00927
LOC283710	LINC03034
LOC283737	AGBL1
LOC283914	LINC01566
LOC285299	FRG2C
LOC285419	LINC01091
LOC285628	MIR3142HG
LOC285812	GFOD1
LOC285835	MICA-AS1
LOC286052	TMEM65
LOC286063	LOC100287846
LOC286087	LOC105377782
LOC286254	NALT1
LOC338620	LOC105376486
LOC339674	LINC00634
LOC340178	LOC105378146
LOC375133	PI4KAP2
LOC375190	FAM228B
LOC388152	GOLGA2P7
LOC389791	PTGES2-AS1
LOC389895	HAPSTR2
LOC390595	UBAP1L
LOC400891	LRRC74B
LOC401040	LINC02991
LOC401134	LINC02232
LOC401317	CREB5
LOC402176	RPL21P44
LOC440040	GRM5P1
LOC440330	LINC02867
LOC554223	HLA-V
LOC642423	LOC101929479
LOC642587	MIR205HG
LOC643802	MPHOSPH10P1
LOC643923	ELMOD1
LOC644090	PRKAG2-AS2
LOC645202	GOLGA6L24P
LOC645262	PDE4DIPP3
LOC645752	GOLGA6FP
LOC648044	GNG14
LOC649330	HNRNPCL3
LOC653541	DUX4L8
LOC653602	LRATD1
LOC729800	DMBT1L1
LOC90586	AOC4P
LRRC29	FBXL9P
LRRC58-DT	BTNL12P
LRRC6P1	DNAAF11P1
MACC1-DT 	 GIRGL
MAFG-DT	MILIP
MAGEA5	MAGEA5P
MCTS2P	MCTS2
MEF2BNBP1	BORCS8P1
METTL11B	NTMT2
METTL7A 	 TMT1A
METTL7AP1 	 TMT1AP1
METTL7B 	 TMT1B
MFSD14C	MFSD14CP
MIR1-1HG-AS1	CRMA
MIR8069-2	MIR8069
MYLPF	MYL11
NABP1-OT1	NABP1
NARR	RAB34
NAV2-AS6 	 LEISA1
NBPF7	NBPF7P
ND1	MT-ND1
ND2	MT-ND2
ND3	MT-ND3
ND4	MT-ND4
ND4L	MT-ND4L
ND5	MT-ND5
ND6	MT-ND6
NOVA1-AS1	NOVA1-DT
OR14L1P 	 OR14L1
OR1F12	OR1F12P
OR52P1P	OR52P1
OR52Z1	OR52Z1P
ORAOV1P1	LTO1P1
OSMR-AS1	OSMR-DT
PALM2	PALM2AKAP2
PARD3-AS1	PARD3-DT
PDZD3 	 NHERF4
PHB	PHB1
PHBP1	PHB1P1
PHBP10	PHB1P10
PHBP11	PHB1P11
PHBP12	PHB1P12
PHBP13	PHB1P13
PHBP14	PHB1P14
PHBP15	PHB1P15
PHBP16	PHB1P16
PHBP17	PHB1P17
PHBP18	PHB1P18
PHBP19	PHB1P19
PHBP2	PHB1P2
PHBP20	PHB1P20
PHBP21	PHB1P21
PHBP3	PHB1P3
PHBP4	PHB1P4
PHBP5	PHB1P5
PHBP6	PHB1P6
PHBP7	PHB1P7
PHBP8	PHB1P8
PHBP9	PHB1P9
PHF5CP 	 PHF5AP1
PHF5DP 	 PHF5AP2
PHF5EP 	 PHF5AP3
PHF5FP 	 PHF5AP4
PHF5GP 	 PHF5AP5
PHF5HP 	 PHF5AP6
PKNOX2-AS1	PKNOX2-DT
POU2F2-AS1 	 LNROP
PPP5D1	PPP5D1P
PQLC1P1	SLC66A2P1
PQLC1P2	SLC66A2P2
PRIM2B	PRIM2BP
PRSS47	PRSS47P
PTPRD-AS2	PTPRD-DT
QARS	QARS1
RAPTOR	RPTOR
RFX3-AS1	RFX3-DT
RNASEH1-AS1	RNASEH1-DT
RNF139-AS1	RNF139-DT
RNF165 	 ARK2C
RNMTL1P1	MRM3P1
RNMTL1P2	MRM3P2
RPL36AP42	RPL36AL
RPSAP58	RPSA2
RRNAD1	METTL25B
RRS1-AS1	RRS1-DT
SCAND3P1	ZBED9P1
SGK196	POMK
SGK223	PRAG1
SGK269	PEAK1
SGK494	RSKR
SKIV2L	SKIC2
SLC26A10	SLC26A10P
SLC2A1-AS1	SLC2A1-DT
SLC9A3R1 	 NHERF1
SLC9A3R2 	 NHERF2
SMIM11A	SMIM11
SMIM34A	SMIM34
SMIM4 	 UQCC5
SPACA6P-AS	SPACA6-AS1
SPATA5 	 AFG2A
SPATA5L1 	 AFG2B
SPDYE10P	SPDYE10
SPDYE12P	SPDYE12
SPTY2D1OS 	 MISFA
SRP14-AS1	SRP14-DT
SSBL3P1	SSBP3P1
SSU72P2 	 SSU72L2
SSU72P3 	 SSU72L3
SSU72P4 	 SSU72L4
SSU72P5 	 SSU72L5
SSU72P7 	 SSU72L1
SSU72P8 	 SSU72L6
STK4-AS1	STK4-DT
STX17-AS1	STX17-DT
SUCLG2-AS1	SUCLG2-DT
SULT1C2P1	SULT1C5P
SUPV3l1	SUPV3L1
TAZ	TAFAZZIN
TBC1D3J	TBC1D3JP
THRA1/BTR	SKAP1-AS2
TIAF1	MYO18A
TMEM155	SMIM43
TMEM159	LDAF1
TMEM161B-AS1	TMEM161B-DT
TMEM183B	TMEM183BP
TMEM211	LHFPL7
TMEM251	LYSET
TMEM251P1	LYSETP1
TMEM75	LINC02912
TMEM99	KRT10-AS1
TNKS2-AS1	TNKS2-DT
TOLLIP-AS1	TOLLIP-DT
TPRX2P	TPRX2
TRIM51GP	TRIM51G
TRIM75P	TRIM75
TRNA	MT-TA
TRNC	MT-TC
TRPC6P	TRPC6P1
TSPY9P	TSPY9
TTC26 	 IFT56
TTC30A 	 IFT70A
TTC30B 	 IFT70B
TTC37	SKIC3
TTLL11-IT1	TTLL11
TTLL13P	TTLL13
UBA6-AS1	UBA6-DT
UBE2E2-AS1	UBE2E2-DT
UBE2Q2L	UBE2Q2P16
UBL7-AS1	UBL7-DT
UBR5-AS1	UBR5-DT
UCHL1-AS1	UCHL1-DT
UHRF1BP1	BLTP3A
UHRF1BP1L	BLTP3B
USP12-AS2	USP12-DT
VNN3	VNN3P
WDR11-AS1	WDR11-DT
WDR61	SKIC8
WRB-SH3BGR	GET1-SH3BGR
WRBP1	GET1P1
XKRY2	XKRYP7
ZADH2	PTGR3
ZBED6CL	ZBED10P
ZBED8 	 FAM200C
ZBED9 	 SCAND3
ZBED9P1 	 SCAND3P1
ZDHHC8P1	ZDHHC8BP
ZNF192P1	ZKSCAN8P1
ZNF192P2	ZKSCAN8P2
ZNF259P1	ZPR1P1
ZNF285B	ZNF285BP
ZNF56	ZNF56P
ZNF705E	ZNF705EP
ZNF720	KRBOX5
ZNF720P1	KRBOX5P1
ZNF722P	ZNF722
ZNF72P 	 ZNF72BP
ZNF806	ZNF285CP
ZNRD1ASP	POLR1HASP
ZRANB2-AS2	ZRANB2-DT
HHLA3 	 ANKRD13C-DT
FAM172A 	 ARB2A
FAM172BP 	 ARB2BP
LINC00551 	 ARGLU1-DT
UHRF1BP1L-DT 	 BLTP3B-DT
KIAA2026 	 BRD10
CDKN2A-DT 	 CDKN2A-AS1
C4orf47 	 CFAP96
FAM183BP 	 CFAP144P1
FAM183DP 	 CFAP144P2
FAM183EP 	 CFAP144P3
ODF3 	 CIMAP1A
ODF3B 	 CIMAP1B
ODF3L1 	 CIMAP1C
ODF3L2 	 CIMAP1D
LEXM 	 CIMAP2
PIFO 	 CIMAP3
C20orf85 	 CIMIP1
FAM166A 	 CIMIP2A
FAM166B 	 CIMIP2B
FAM166C 	 CIMIP2C
GUCA1ANB 	 CIMIP3
TEX33 	 CIMIP4
TDGF1 	 CRIPTO
TDGF1P3 	 CRIPTO3
TDGF1P1	 CRIPTOP1
TDGF1P2 	 CRIPTOP2
TDGF1P4 	 CRIPTOP4
TDGF1P5 	 CRIPTOP5
TDGF1P6 	 CRIPTOP6
TDGF1P7 	 CRIPTOP7
FAM90A3P 	 FAM90A3
FAM90A5P 	 FAM90A5
FAM90A11P 	 FAM90A11
FAM90A12P 	 FAM90A12
FAM90A13P 	 FAM90A13
FAM90A15P 	 FAM90A15
FAM90A20P 	 FAM90A20
FAM90A24P 	 FAM90A24
GBAP1 	 GBA1LP
TP73-AS1 	 GFOD3P
GPR143P 	 GPR143YP
BHLHB9P1 	 GPRASP3P1
LINC01135 	 JUN-DT
MRPS36 	 KGD4
HHLA3-AS1 	 LINC03102
ZC3H12A-DT 	 LITATS1
LINC01568 	 LOHAN2
LINC02904 	 LY6S-AS1
LINC00461 	 MIR9-2HG
SOGA1 	 MTCL2
SOGA3 	 MTCL3
MTX1P1 	 MTX1LP
KIAA1522 	 NHSL3
C4orf48 	 NICOL1
RIPK2-DT 	 PARAIL
PRUNEP1 	 PRUNE1P1
PTTG4P 	 PTTG1P1
C12orf40 	 REDIC1
RBM8B 	 RMB8AP1
PPP1R32 	 SAXO4
TEX45 	 SAXO5
C9orf131 	 SPATA31G1
C2orf16 	 SPATA31H1
C17orf98 	 SPMAP1
THEG 	 SPMAP2
THEGL 	 SPMAP2L
ATP6V1FNB 	 SPMIP1
C4orf45 	 SPMIP2
C1orf100 	 SPMIP3
C1orf100P1 	 SPMIP3P1
C7orf31 	 SPMIP4
C10orf82 	 SPMIP5
C9orf24 	 SPMIP6
SPATA48 	 SPMIP7
TEPP 	 SPMIP8
TEX37 	 SPMIP9
TEX43 	 SPMIP10
TEX49 	 SPMIP11
SSXP1 	 SSX11P
SSXP3 	 SSX13P
SSXP4 	 SSX14P
SSXP5 	 SSX15P
SSXP6 	 SSX16P
SSXP7 	 SSX17P
SSXP9 	 SSX19P
CCDC105 	 TEKTL1
TEMN3-AS1 	 TENM3-AS2
C11orf80 	 TOP6BL
LINC01764 	 UCA1-AS1
USP41 	 USP41P
FAM104A 	 VCF1
FAM104B 	 VCF2
THEG5	LINC03103
LOC100505841	ZNF475
LOC100506422	LINC03106
LOC102724951	LINC03105
MTND4P38	MTND4LP23
