datatype	DATA_FILENAME	META_FILENAME	META_STABLE_ID	META_GENETIC_ALTERATION_TYPE	META_DATATYPE	META_SHOW_PROFILE_IN_ANALYSIS_TAB	META_PROFILE_NAME	META_PROFILE_DESCRIPTION	META_REFERENCE_GENOME_ID	META_GENERIC_ASSAY_TYPE	META_GENERIC_ENTITY_meta_PROPERTIES
affymetrix-gene-expression-all-sample-zscores	data_expression_all_sample_Zscores.txt	meta_expression_all_sample_Zscores.txt	mrna_U133_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log U133 microarray only)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (U133 microarray only).			
affymetrix-gene-expression	data_mrna_affymetrix_microarray.txt	meta_mrna_affymetrix_microarray.txt	mrna_U133	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (U133 microarray only)	mRNA expression data from the Affymetrix U133 microarray.			
affymetrix-gene-expression-zscores	data_mrna_affymetrix_microarray_zscores_ref_diploid_samples.txt	meta_mrna_affymetrix_microarray_zscores_ref_diploid_samples.txt	mrna_U133_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (U133 microarray only)	mRNA z-scores (U133 microarray only) compared to the expression distribution of each gene tumors that are diploid for this gene.			
affymetrix-gene-expression-all-sample-zscores	data_mrna_affymetrix_microarray_zscores_ref_all_samples.txt	meta_mrna_affymetrix_microarray_zscores_ref_all_samples.txt	mrna_U133_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log U133 microarray only)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (U133 microarray only).			
agilent-gene-expression	data_expression_median.txt	meta_expression_median.txt	mrna	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (microarray)	Expression levels for genes in cases (Agilent microarray).			
agilent-gene-expression-zscores	data_mRNA_median_Zscores.txt	meta_mRNA_median_Zscores.txt	mrna_median_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (microarray)	mRNA z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.			
agilent-gene-expression-all-sample-zscores	data_mRNA_median_all_sample_Zscores.txt	meta_mRNA_median_all_sample_Zscores.txt	mrna_median_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log microarray)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (Agilent microarray).			
agilent-gene-expression	data_mrna_agilent_microarray.txt	meta_mrna_agilent_microarray.txt	mrna	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (microarray)	Expression levels for genes in cases (Agilent microarray).			
agilent-gene-expression-zscores	data_mrna_agilent_microarray_zscores_ref_diploid_samples.txt	meta_mrna_agilent_microarray_zscores_ref_diploid_samples.txt	mrna_median_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (microarray)	mRNA z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.			
agilent-gene-expression-all-sample-zscores	data_mrna_agilent_microarray_zscores_ref_all_samples.txt	meta_mrna_agilent_microarray_zscores_ref_all_samples.txt	mrna_median_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log microarray)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (Agilent microarray).			
rnaseq-gene-expression	data_RNA_Seq_expression_median.txt	meta_RNA_Seq_expression_median.txt	rna_seq_mrna	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (RNA Seq RPKM)	Expression levels for genes in cases (RNA Seq RPKM).			
rnaseq-gene-expression-zscores	data_RNA_Seq_mRNA_median_Zscores.txt	meta_RNA_Seq_mRNA_median_Zscores.txt	rna_seq_mrna_median_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (RNA Seq RPKM)	mRNA z-scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.			
rnaseq-gene-expression-all-sample-zscores	data_RNA_Seq_mRNA_median_all_sample_Zscores.txt	meta_RNA_Seq_mRNA_median_all_sample_Zscores.txt	rna_seq_mrna_median_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log RNA Seq RPKM)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq RPKM).			
rnaseq-gene-expression	data_mrna_seq_rpkm.txt	meta_mrna_seq_rpkm.txt	rna_seq_mrna	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (RNA Seq RPKM)	Expression levels for genes in cases (RNA Seq RPKM).			
rnaseq-gene-expression-zscores	data_mrna_seq_rpkm_zscores_ref_diploid_samples.txt	meta_mrna_seq_rpkm_zscores_ref_diploid_samples.txt	rna_seq_mrna_median_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (RNA Seq RPKM)	mRNA z-scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.			
rnaseq-gene-expression-all-sample-zscores	data_mrna_seq_rpkm_zscores_ref_all_samples.txt	meta_mrna_seq_rpkm_zscores_ref_all_samples.txt	rna_seq_mrna_median_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log RNA Seq RPKM)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq RPKM).			
rnaseq-v2-gene-expression	data_RNA_Seq_v2_expression_median.txt	meta_RNA_Seq_v2_expression_median.txt	rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (RNA Seq V2 RSEM)	Expression levels for genes in cases (RNA Seq V2 RSEM).			
rnaseq-v2-gene-expression-zscores	data_RNA_Seq_v2_mRNA_median_Zscores.txt	meta_RNA_Seq_v2_mRNA_median_Zscores.txt	rna_seq_v2_mrna_median_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (RNA Seq V2 RSEM)	mRNA z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.			
rnaseq-v2-gene-expression-all-sample-zscores	data_RNA_Seq_v2_mRNA_median_all_sample_Zscores.txt	meta_RNA_Seq_v2_mRNA_median_all_sample_Zscores.txt	rna_seq_v2_mrna_median_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).			
rnaseq-v2-gene-expression	data_mrna_seq_v2_rsem.txt	meta_mrna_seq_v2_rsem.txt	rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (RNA Seq V2 RSEM)	Expression levels for genes in cases (RNA Seq V2 RSEM).			
rnaseq-v2-gene-expression-zscores	data_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	meta_mrna_seq_v2_rsem_zscores_ref_diploid_samples.txt	rna_seq_v2_mrna_median_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (RNA Seq V2 RSEM)	mRNA z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.			
rnaseq-v2-gene-expression-all-sample-zscores	data_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	meta_mrna_seq_v2_rsem_zscores_ref_all_samples.txt	rna_seq_v2_mrna_median_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).			
rnaseq-v2-gene-expression-normal	data_mrna_seq_v2_rsem_normal_samples.txt	meta_mrna_seq_v2_rsem_normal_samples.txt	rna_seq_v2_mrna_median_normals	MRNA_EXPRESSION	CONTINUOUS	TRUE	mRNA expression of adjacent normal samples, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)	mRNA expression of adjacent normal samples, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)			
rnaseq-v2-gene-expression-normal-zscores	data_mrna_seq_v2_rsem_normal_samples_zscores_ref_normal_samples.txt	meta_mrna_seq_v2_rsem_normal_samples_zscores_ref_normal_samples.txt	rna_seq_v2_mrna_median_normals_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression of adjacent normal samples, z-scores relative to all normal samples (log RNA Seq V2 RSEM)	Expression z-scores of adjacent normal samples compared to the expression distribution of all log-transformed mRNA expression of adjacent normal samples in the cohort.			
rnaseq-v2-gene-expression-all-sample-ref-normal-zscores	data_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	meta_mrna_seq_v2_rsem_zscores_ref_normal_samples.txt	rna_seq_v2_mrna_median_all_sample_ref_normal_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to normal samples (log RNA Seq V2 RSEM)	Expression z-scores of tumor samples compared to the expression distribution of all log-transformed mRNA expression of adjacent normal samples in the cohort.			
rnaseq-gene-expression-cpm	data_RNA_Seq_expression_cpm.txt	meta_RNA_Seq_expression_cpm.txt	mrna_seq_cpm	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (RNA Seq CPM)	Expression levels for genes in cases (RNA Seq CPM).			
rnaseq-gene-expression-cpm-zscores	data_RNA_Seq_expression_cpm_Zscores.txt	meta_RNA_Seq_expression_cpm_Zscores.txt	mrna_seq_cpm_Zscores	MRNA_EXPRESSION	Z-SCORE	FALSE	mRNA expression z-scores (RNA Seq CPM)	Expression level z-scores for genes in cases (RNA Seq CPM).			
rnaseq-gene-expression-cpm-all-sample-zscores	data_RNA_Seq_expression_cpm_all_sample_Zscores.txt	meta_RNA_Seq_expression_cpm_all_sample_Zscores.txt	mrna_seq_cpm_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log RNA Seq CPM)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq CPM).			
rnaseq-gene-expression-cpm	data_mrna_seq_cpm.txt	meta_mrna_seq_cpm.txt	mrna_seq_cpm	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (RNA Seq CPM)	Expression levels for genes in cases (RNA Seq CPM).			
rnaseq-gene-expression-cpm-zscores	data_mrna_seq_cpm_zscores_ref_diploid_samples.txt	meta_mrna_seq_cpm_zscores_ref_diploid_samples.txt	mrna_seq_cpm_Zscores	MRNA_EXPRESSION	Z-SCORE	FALSE	mRNA expression z-scores (RNA Seq CPM)	Expression level z-scores for genes in cases (RNA Seq CPM).			
rnaseq-gene-expression-cpm-all-sample-zscores	data_mrna_seq_cpm_zscores_ref_all_samples.txt	meta_mrna_seq_cpm_zscores_ref_all_samples.txt	mrna_seq_cpm_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log RNA Seq CPM)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq CPM).			
rnaseq-gene-expression-tpm	data_RNA_Seq_expression_tpm.txt	meta_RNA_Seq_expression_tpm.txt	mrna_seq_tpm	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (RNA Seq TPM)	Expression levels for genes in cases (RNA Seq TPM).			
rnaseq-gene-expression-tpm-zscores	data_RNA_Seq_expression_tpm_Zscores.txt	meta_RNA_Seq_expression_tpm_Zscores.txt	mrna_seq_tpm_Zscores	MRNA_EXPRESSION	Z-SCORE	FALSE	mRNA expression z-scores (RNA Seq TPM)	Expression level z-scores for genes in cases (RNA Seq TPM).			
rnaseq-gene-expression-tpm-all-sample-zscores	data_RNA_Seq_expression_tpm_all_sample_Zscores.txt	meta_RNA_Seq_expression_tpm_all_sample_Zscores.txt	mrna_seq_tpm_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log RNA Seq TPM)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq TPM).			
rnaseq-gene-expression-tpm	data_mrna_seq_tpm.txt	meta_mrna_seq_tpm.txt	mrna_seq_tpm	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (RNA Seq TPM)	Expression levels for genes in cases (RNA Seq TPM).			
rnaseq-gene-expression-tpm-zscores	data_mrna_seq_tpm_zscores_ref_diploid_samples.txt	meta_mrna_seq_tpm_zscores_ref_diploid_samples.txt	mrna_seq_tpm_Zscores	MRNA_EXPRESSION	Z-SCORE	FALSE	mRNA expression z-scores (RNA Seq TPM)	Expression level z-scores for genes in cases (RNA Seq TPM).			
rnaseq-gene-expression-tpm-all-sample-zscores	data_mrna_seq_tpm_zscores_ref_all_samples.txt	meta_mrna_seq_tpm_zscores_ref_all_samples.txt	mrna_seq_tpm_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log RNA Seq TPM)	Log-transformed mRNA z-scores compared to the expression distribution of all samples (RNA Seq TPM).			
mrna-seq-fpkm	data_mrna_seq_fpkm.txt	meta_mrna_seq_fpkm.txt	mrna_seq_fpkm	MRNA_EXPRESSION	CONTINUOUS		mRNA expression (FPKM)	mRNA expression from capture (RNA Seq FPKM)			
mrna-seq-fpkm-zscores	data_mrna_seq_fpkm_zscores_ref_diploid_samples.txt	meta_mrna_seq_fpkm_zscores_ref_diploid_samples.txt	mrna_seq_fpkm_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (FPKM)	mRNA expression from capture z-scores (RNA Seq FPKM)			
mrna-seq-fpkm-all-sample-zscores	data_mrna_seq_fpkm_zscores_ref_all_samples.txt	meta_mrna_seq_fpkm_zscores_ref_all_samples.txt	mrna_seq_fpkm_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log FPKM)	Log-transformed mRNA z-scores compared to expression distribution of all samples (RNA Seq FPKM)			
mrna-seq-fpkm-capture	data_mrna_seq_fpkm_capture.txt	meta_mrna_seq_fpkm_capture.txt	mrna_seq_fpkm_capture	MRNA_EXPRESSION	CONTINUOUS		mRNA expression (FPKM capture)	mRNA expression from capture (RNA Seq FPKM)			
mrna-seq-fpkm-capture-zscores	data_mrna_seq_fpkm_capture_zscores_ref_diploid_samples.txt	meta_mrna_seq_fpkm_capture_zscores_ref_diploid_samples.txt	mrna_seq_fpkm_capture_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (FPKM capture)	mRNA expression from capture z-scores (RNA Seq FPKM)			
mrna-seq-fpkm-capture-all-sample-zscores	data_mrna_seq_fpkm_capture_zscores_ref_all_samples.txt	meta_mrna_seq_fpkm_capture_zscores_ref_all_samples.txt	mrna_seq_fpkm_capture_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log FPKM capture)	Log-transformed mRNA z-scores compared to expression distribution of all samples (RNA Seq FPKM capture)			
mrna-seq-fpkm-polya	data_mrna_seq_fpkm_polya.txt	meta_mrna_seq_fpkm_polya.txt	mrna_seq_fpkm_polya	MRNA_EXPRESSION	CONTINUOUS		mRNA expression (FPKM polyA)	mRNA expression from polyA (RNA Seq FPKM)			
mrna-seq-fpkm-polya-zscores	data_mrna_seq_fpkm_polya_zscores_ref_diploid_samples.txt	meta_mrna_seq_fpkm_polya_zscores_ref_diploid_samples.txt	mrna_seq_fpkm_polya_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (FPKM polyA)	mRNA expression from polyA z-scores (RNA Seq FPKM)			
mrna-seq-fpkm-polya-all-sample-zscores	data_mrna_seq_fpkm_polya_zscores_ref_all_samples.txt	meta_mrna_seq_fpkm_polya_zscores_ref_all_samples.txt	mrna_seq_fpkm_polya_all_sample_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores relative to all samples (log FPKM polyA)	Log-transformed mRNA z-scores compared to expression distribution of all samples (RNA Seq FPKM polyA)			
mrna-outliers	data_mRNA_outliers.txt	meta_mRNA_outliers.txt	mrna_outliers	MRNA_EXPRESSION	DISCRETE	FALSE	mRNA Expression Outliers	mRNA expression outliers compared to normals (-1 = underexpressed, 1 = overexpressed).			
mrna-outliers	data_mrna_outliers.txt	meta_mrna_outliers.txt	mrna_outliers	MRNA_EXPRESSION	DISCRETE	FALSE	mRNA Expression Outliers	mRNA expression outliers compared to normals (-1 = underexpressed, 1 = overexpressed).			
other-gene-expression-zscores	data_expression_other_Zscores.txt	meta_expression_other_Zscores.txt									
rnaseq-gene-expression	data_mrna_seq_expression.txt	meta_mrna_seq_expression.txt	rna_seq_mrna	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (RNA Seq RPKM)	Expression levels for genes in cases (RNA Seq RPKM).			
