NORMALIZED_COLUMN_HEADER	DISPLAY_NAME	DESCRIPTIONS	DATATYPE	PRIORITY	ATTRIBUTE_TYPE
ASSOCIATED_ADENOMA	Associated Adenoma	Associated Adenoma	STRING	1	PATIENT
ASSOCIATED_BORDERLINE_OVARIAN_TUMOR	Associated Borderline Ovarian Tumor	Associated Borderline Ovarian Tumor	STRING	1	PATIENT
ASSOCIATED_GENETIC_METABOLIC_DISEASE	Associated Genetic Metabolic Diseases	Associated Genetic Metabolic Diseases	STRING	1	PATIENT
ASTHMA_ECZEMA_ALLERGY_FIRST_DIAGNOSIS	First Diagnosis of Asthma Eczema Allergy	First Diagnosis of Asthma Eczema Allergy	STRING	1	PATIENT
ASTHMA_HISTORY	Asthma History	Asthma history.	STRING	1	PATIENT
ASYMPTOMATIC_WEEKS	Asymptomatic (weeks)	Asymptomatic (weeks)	NUMBER	1	PATIENT
ATM_MUT	ATM Mutation	ATM Mutation	NUMBER	1	SAMPLE
ATM_MUTATION_STATUS	ATM Mutation Status	ATM Mutation Status	STRING	1	SAMPLE
ATRA_EXPOSURE	Atra Exposure	Atra Exposure	STRING	1	SAMPLE
ATRX_DELETION	ATRX Deletion	ATRX Deletion	STRING	1	SAMPLE
ATRX_SOMATIC	ATRX Somatic Mutation	ATRX Somatic Mutation	STRING	1	SAMPLE
ATRX_STATUS	ATRX status	ATRX status	STRING	1	SAMPLE
ATR_MUTATION_STATUS	ATR Mutation Status	ATR Mutation Status	STRING	1	SAMPLE
ATYPICAL_MITOTIC_FIGURES	Atypical Mitotic Figures	Atypical Mitotic Figures	STRING	1	PATIENT
AT_PROCUREMENT_PROTHROMBIN_TIME_INR	Laboratory procedure prothrombin time result value	Laboratory procedure prothrombin time result value	NUMBER	1	PATIENT
AURKA_FISH	AURKA FISH	AURKA FISH	STRING	1	SAMPLE
AVERAGE_SAMPLE_ALLELE_FREQUENCY	Average Sample Allele Frequency	Average Sample Allele Frequency	STRING	1	SAMPLE
AVE_DNA_PURITY	Average DNA Purity	Average DNA Purity	NUMBER	1	SAMPLE
AVE_PLOIDY	Average Ploidy	Average ploidy	NUMBER	1	SAMPLE
AVE_RNA_PURITY	Average RNA Purity	Average RNA Purity	NUMBER	1	SAMPLE
AVG_CN_12Q13_15	avg CN 12q13~15	avg CN 12q13~15	STRING	1	SAMPLE
A_C	A>C	A>C	STRING	1	SAMPLE
A_G	A>G	A>G	STRING	1	SAMPLE
A_T	A>T	A>T	STRING	1	SAMPLE
BAIT_VERSION	Bait Version	Bait Version	STRING	1	SAMPLE
BAP1_LOSS	BAP1 Loss	BAP1 Loss	STRING	1	SAMPLE
BARRETTS_ESOPHAGUS	Barretts Esophagus	Barretts esophagus.	STRING	1	PATIENT
BASELINE_BIOPSY_SITE	Baseline Biopsy site	Baseline Biopsy site	STRING	1	SAMPLE
BASELINE_CNS_DISEASE	Baseline CNS Disease	Baseline CNS Disease	STRING	1	PATIENT
BASELINE_EXTRAMEDULLARY_DISEASE	Baseline Extramedullary Disease	Baseline Extramedullary Disease	STRING	1	PATIENT
BASOPHILS_COUNT	Basophils Cell Count	Basophils Cell Count	NUMBER	1	SAMPLE
BATCH_NUMBER	Batch Number	Batch number.	STRING	1	SAMPLE
BCFI_MONTHS	Breast Cancer-Free Interval Months	Breast Cancer-Free Interval Months (BCFI Months)	STRING	1	PATIENT
BCFI_STATUS	Breast Cancer-Free Interval Status	Breast Cancer-Free Interval Status	STRING	1	PATIENT
BCL2_BA	BCL2 Break Apart	BCL2 Break Apart	STRING	1	PATIENT
BCL2_REAR	BCL2 Rearrangements	BCL2 Rearrangements	STRING	1	PATIENT
BCL6_BA	BCL6 Break Apart	BCL6 Break Apart	STRING	1	PATIENT
BCL6_REAR	BCL6 Rearrangements	BCL6 Rearrangements	STRING	1	PATIENT
BCL6_STATUS	BCL6 Status	BCL6 Status	STRING	1	SAMPLE
BCLC_STAGE	BCLC Stage	BCLC Stage	STRING	1	PATIENT
BCR_ABL1_STATUS	BCR ABL1 Status	BCR ABL1 status	STRING	1	SAMPLE
BCR_ABL_P190_NEGATIVE	Negative for BCR-ABL(p190)	Negative for BCR-ABL(p190)	STRING	1	SAMPLE
BCR_ABL_P190_POSITIVE	Positive for BCR-ABL(p190)	Positive for BCR-ABL(p190)	STRING	1	SAMPLE
BCR_ABL_P210_NEGATIVE	Negative for BCL-ABL(p210)	Negative for BCL-ABL(p210)	STRING	1	SAMPLE
BCR_ABL_P210_POSITIVE	Positive for BCL-ABL(p210)	Positive for BCL-ABL(p210)	STRING	1	SAMPLE
BCR_FOLLOWUP_BARCODE	BCR Followup Barcode	BCR Followup Barcode	STRING	1	PATIENT
BCR_FOLLOWUP_UUID	BCR Followup UUID	BCR Followup UUID	STRING	1	PATIENT
BCR_FREE_MONTHS	BCR Free Months	BCR Free Time in months	NUMBER	1	PATIENT
BCR_PATIENT_BARCODE	BCR Patient Barcode	BCR Patient Barcode	STRING	1	PATIENT
BCR_PATIENT_UUID	BCR patient uuid	BCR patient uuid	STRING	1	PATIENT
BCR_SAMPLE_UUID	BCR sample uuid	BCR sample uuid	STRING	1	SAMPLE
BCR_STATUS	BCR Status	BCR status.	STRING	1	PATIENT
BCR_TREATMENT_BARCODE	BCR Treatment Barcode	BCR Treatment Barcode	STRING	1	PATIENT
BEST_ORR	Best objective response rate	Best objective response rate	STRING	1	PATIENT
BEST_RANO_RESPONSE	Best RANO Response	Best Response Assessment in Neuro-Oncology Criteria (RANO) Response	STRING	1	PATIENT
BEST_RESPONSE_TO_ALKYLATING_AGENT	Best response to alkylating agent (temozolomide or dacarbazine)	Best response to alkylating agent (temozolomide or dacarbazine)	STRING	1	PATIENT
BEST_RESPONSE_TO_EVEROLIMUS	Best response to everolimus	Best response to everolimus	STRING	1	PATIENT
BEST_RESPONSE_TO_PLATINUM	Best response to platinum	Best response to platinum	STRING	1	PATIENT
BEST_RESPONSE_TO_SUNITINIB	Best response to Sunitinib	Best response to Sunitinib	STRING	1	PATIENT
BEST_RESPONSE_TO_THERAPY	Best Response to Therapy	Best Response to Therapy	STRING	1	PATIENT
BETA_HCG_LEVELS	Beta HCG Levels	Beta HCG Levels	STRING	1	SAMPLE
BIC_FILE_SAMPLE_ID	BIC File Sample ID	BIC File Sample ID	STRING	1	SAMPLE
BIC_PATIENT_ID	BIC Patient ID	BIC Patient ID	STRING	1	PATIENT
BILATERAL	Bilateral	Bilateral	STRING	1	PATIENT
BILATERAL_DIAGNOSIS_TIMING_TYPE	Bilateral Diagnosis Timing Type	Bilateral Diagnosis Timing Type	STRING	1	SAMPLE
BILIRUBIN_TOTAL	Bilirubin Total	Bilirubin Total	STRING	1	SAMPLE
BILIRUBIN_TOTAL_NORMAL_RANGE_LOWER	Bilirubin Total Norm Range Lower	Bilirubin Total Norm Range Lower	NUMBER	1	PATIENT
BILIRUBIN_TOTAL_NORMAL_RANGE_UPPER	Bilirubin Total Norm Range Upper	Bilirubin Total Norm Range Upper	NUMBER	1	PATIENT
BILIRUBIN_TOTAL_NORM_RANGE_LOWER	Bilirubin Total Norm Range Lower	Bilirubin Total Norm Range Lower	NUMBER	1	SAMPLE
BILIRUBIN_TOTAL_NORM_RANGE_UPPER	Bilirubin Total Norm Range Upper	Bilirubin Total Norm Range Upper	NUMBER	1	SAMPLE
BIND	BIND	BIND.	STRING	1	SAMPLE
BIOCHEMICAL_RECURRENCE_INDICATOR	Biochemical Recurrence Indicator	Biochemical Recurrence Indicator	STRING	1	PATIENT
BIOCHEMICAL_TESTING	Biochemical Testing Performed	Biochemical Testing Performed	STRING	1	SAMPLE
BIOPSY_AT_PROGRESSION	Biopsy at Progression	Biopsy at Progression	STRING	1	SAMPLE
BIOPSY_FROM_IRRADIATED_SITE	Biopsy From Irradiated Site	Biopsy From Irradiated Site	STRING	1	PATIENT
BIOPSY_GLEASON_SCORE	BIOPSY GLEASON SCORE	BIOPSY GLEASON SCORE	STRING	1	SAMPLE
BIOPSY_GLEASON_SCORE_1	BIOPSY GLEASON SCORE 1	BIOPSY GLEASON SCORE 1	STRING	1	SAMPLE
BIOPSY_GLEASON_SCORE_2	BIOPSY GLEASON SCORE 2	BIOPSY GLEASON SCORE 2	STRING	1	SAMPLE
BIOPSY_OBTAINED	Biopsy Obtained at MSK or OSH	Biopsy Obtained at MSK or OSH	STRING	1	SAMPLE
BIOPSY_PRE_OR_POST_IPI	Biopsy pre or post IPI	Biopsy pre or post IPI	STRING	1	PATIENT
BIOPSY_PROCEDURE	Biopsy Procedure	Biopsy procedure.	STRING	1	PATIENT
BIOPSY_TIME	Biopsy Time	Biopsy Time	STRING	1	SAMPLE
BIRTH_COUNTRY	Birth Country	Birth Country	STRING	1	PATIENT
