NORMALIZED_COLUMN_HEADER	ATTRIBUTE_TYPE	DATATYPE	DESCRIPTIONS	DISPLAY_NAME	PRIORITY	CATEGORY	VOCABULARY	COLOR	FLAG
ALPHA_FETOPROTIEN_NORMAL_RANGE_UPPER	PATIENT	STRING	AFP Normal Range Higher Bound	AFP Normal Range Higher Bound	1				
ALP_U_L	SAMPLE	STRING	alp (u/l)	alp (u/l)	1				
ALTERATIONS	SAMPLE	STRING	Alterations	Alterations	1				
ALTERNATE_THERAPY	PATIENT	STRING	Alternative Therapy Given	Alternative Therapy Given	1				
ALTERNATE_THERAPY_OTHER	PATIENT	STRING	Other Alternative Therapy Given	Other Alternative Therapy Given	1				
ALT_COUNT	SAMPLE	NUMBER	Alt Count	Alt Count	1				
ALT_FREQUENCY	SAMPLE	NUMBER	Alt Frequency	Alt Frequency	1				
AML_DIAGNOSIS	PATIENT	STRING	AML Diagnosis	AML Diagnosis	1				
AML_IN_SKIN_PERCENTAGE	PATIENT	NUMBER	AML in skin, determined by WGS.	AML in Skin Percentage	1				
AMOUNT	SAMPLE	STRING	Amount	Amount	1				
AMPLIFICATION_1P	SAMPLE	STRING	1p Amplification	1p Amplification	1				
AMPLIFICATION_1Q	SAMPLE	STRING	1q Amplification	1q Amplification	1				
AMPLIFICATION_STATUS	SAMPLE	STRING	Amplification Status	Amplification Status	1				
AMP_12Q15_CDK4	SAMPLE	STRING	AMP 12q15 CDK4	AMP 12q15 CDK4	1				
AMP_12Q15_DDIT3	SAMPLE	STRING	AMP 12q15 DDIT3	AMP 12q15 DDIT3	1				
AMP_12Q15_FRS2	SAMPLE	STRING	AMP 12q15 FRS2	AMP 12q15 FRS2	1				
AMP_12Q15_HMGA2	SAMPLE	STRING	AMP 12q15 HMGA2	AMP 12q15 HMGA2	1				
AMP_12Q15_MDM2	SAMPLE	STRING	AMP 12q15 MDM2	AMP 12q15 MDM2	1				
AMP_FEATURE	SAMPLE	STRING	Amp Feature	Amp Feature	1				
ANALYSIS_COHORT	SAMPLE	STRING	Analysis Cohort	Analysis Cohort	1				
ANALYSIS_COHORT_CA	PATIENT	STRING	ICC evaluated by computational analysis	ICC-CA	1				
ANALYSIS_COHORT_HA	SAMPLE	STRING	Resected ICC evaluated by semi-quantitative histological assessment	ICC-HA	1				
ANALYSIS_ID	SAMPLE	STRING	analysis id	analysis id	1				
ANALYSIS_TYPE	SAMPLE	STRING	Type of analysis performed	Analysis Type	1				
ANAPLASTIC_PERCENTAGE	PATIENT	STRING	Anaplastic Percentage	Anaplastic Percentage	1				
ANATOMICAL_SUBTYPE	SAMPLE	STRING	Anatomical Subtype	Anatomical Subtype	1				
ANATOMIC_REGION	PATIENT	STRING	Anatomic Region.	Anatomic Region	1				
ANC_COUNT	PATIENT	STRING	ANC Count	ANC Count	1				
ANDROGEN_DEPRIVATION_THERAPY	PATIENT	STRING	Androgen Deprivation Therapy (ADT)	Androgen Deprivation Therapy (ADT)	1				
ANEUPLOIDY_SCORE	SAMPLE	NUMBER	Aneuploidy Score	Aneuploidy Score	1				
ANGIOLYMPHATIC_INVASION	PATIENT	STRING	Presence of angiolymphatic invasion.	Angiolymphatic Invasion	1				
ANIMAL_INSECT_ALLERGY_AGE	PATIENT	NUMBER	Animal Insect Allergy Age	Animal Insect Allergy Age	1				
ANIMAL_INSECT_ALLERGY_HIST	PATIENT	STRING	Animal insect allergy history.	Animal Insect Allergy History	1				
ANIMAL_INSECT_ALLERGY_TYPES	PATIENT	STRING	Animal insect allergy types.	Animal Insect Allergy Types	1				
ANTIREFLUX_TREATMENT	PATIENT	STRING	Anti-reflux treatment.	Anti-reflux Treatment	1				
ANTIREFLUX_TREATMENT_TYPE	PATIENT	STRING	Anti-reflux treatment type.	Anti-reflux Treatment Type	1				
ANTIRETROVIRAL_THERAPY_AT_DIAGNOSIS	PATIENT	STRING	Yes/No indicator for antiretroviral therapy at diagnosis	Antiretroviral Therapy Status at Diagnosis	1				
ANTI_O_VIVERRINI_IGG	SAMPLE	STRING	anti_O_viverrini_IgG	anti_O_viverrini_IgG	1				
ANY_THERAPY_2YRS	PATIENT	STRING	Patient-reported response to the question: Since your diagnosis with metastatic breast cancer, have you been on any of your cancer therapies for more than 2 years?	PRD Any Therapy More Than 2 Years	1				
ANY_THERAPY_XRC_RESPONSE	PATIENT	STRING	Patient-reported response to the question: Have any of your therapies worked extraordinarily well - made your cancer disappear completely (resulting in no evidence of disease, NED) or resulted in a dramatic reduction in tumor size - for any period of time?	PRD Extraordinary Reponse to Any Therapy	1				
APC_INTRON	SAMPLE	STRING	APC Intron	APC Intron	1				
ARCHER	SAMPLE	STRING	Archer Panel	Archer Panel	1				
ARHGAP26_ARHGAP6_CLDN18_REARRANGEMENT	SAMPLE	STRING	ARHGAP26-ARHGAP6-CLDN18 Rearrangement.	ARHGAP26-ARHGAP6-CLDN18 Rearrangement	1				
ARHGAP35_MUTATION_STATUS	SAMPLE	STRING	ARHGAP35 Mutation Status	ARHGAP35 Mutation Status	1				
ARID1A_MUTATION	SAMPLE	STRING	ARID1A mutation is present.	ARID1A Mutation	1				
ARID1A_PROTEIN_CODING	SAMPLE	NUMBER	ARID1A Protein Coding	ARID1A Protein Coding	1				
ARID5B_MUTATION_STATUS	SAMPLE	STRING	ARID5B Mutation Status	ARID5B Mutation Status	1				
ARMDRIVER_CN	SAMPLE	STRING	ArmDriver CN	ArmDriver CN	1				
ARM_SCNA_CLUSTER	SAMPLE	STRING	Arm-level SCNA cluster assignment	Arm-level SCNA cluster assignment	1				
ARNT_SOMATIC	SAMPLE	STRING	ARNT Somatic Mutation	ARNT Somatic Mutation	1				
AR_EXPRESSION	SAMPLE	NUMBER	AR Expression	AR Expression	1				
AR_HIGH	SAMPLE	STRING	AR High	AR High	1				
AR_MRNA	SAMPLE	NUMBER	AR mRNA	AR mRNA	1				
AR_PROTEIN	SAMPLE	NUMBER	AR Protein	AR Protein	1				
AR_SCORE	SAMPLE	NUMBER	AR score	AR Score	1				
AR_STATUS	SAMPLE	STRING	AR Status.	AR Status	1				
AR_V7_PRESENCE	SAMPLE	NUMBER	AR V7 Presence	AR V7 Presence	1				
AR_V7_RATIO	SAMPLE	NUMBER	AR V7 Ratio	AR V7 Ratio	1				
AR_V7_READS	SAMPLE	NUMBER	AR V7 Reads	AR V7 Reads	1				
AR_VALUE	SAMPLE	STRING	AR Value	AR Value	1				
ASBESTOS_EXPOSURE_AGE	PATIENT	STRING	Asbestos Exposure Age	Asbestos Exposure Age	1				
ASBESTOS_EXPOSURE_AGE_LAST	PATIENT	STRING	Asbestos Exposure Age Last	Asbestos Exposure Age Last	1				
ASBESTOS_EXPOSURE_SOURCE	PATIENT	STRING	Asbestos Exposure Source	Asbestos Exposure Source	1				
ASBESTOS_EXPOSURE_TYPE	PATIENT	STRING	Asbestos Exposure Type	Asbestos Exposure Type	1				
ASBESTOS_EXPOSURE_YEARS	PATIENT	STRING	Asbestos Exposure Years	Asbestos Exposure Years	1				
ASG_5ME	SAMPLE	STRING	ASG 5ME.	ASG_5ME	1				
ASSOCIATED_ADENOMA	PATIENT	STRING	Associated Adenoma	Associated Adenoma	1				
ASSOCIATED_BORDERLINE_OVARIAN_TUMOR	PATIENT	STRING	Associated Borderline Ovarian Tumor	Associated Borderline Ovarian Tumor	1				
ASSOCIATED_GENETIC_METABOLIC_DISEASE	PATIENT	STRING	Associated Genetic Metabolic Diseases	Associated Genetic Metabolic Diseases	1				
ASTHMA_ECZEMA_ALLERGY_FIRST_DIAGNOSIS	PATIENT	STRING	First Diagnosis of Asthma Eczema Allergy	First Diagnosis of Asthma Eczema Allergy	1				
ASTHMA_HISTORY	PATIENT	STRING	Asthma history.	Asthma History	1				
ASYMPTOMATIC_WEEKS	PATIENT	NUMBER	Asymptomatic (weeks)	Asymptomatic (weeks)	1				
ATM_MUT	SAMPLE	NUMBER	ATM Mutation	ATM Mutation	1				
ATM_MUTATION_STATUS	SAMPLE	STRING	ATM Mutation Status	ATM Mutation Status	1				
ATRA_EXPOSURE	SAMPLE	STRING	Atra Exposure	Atra Exposure	1				
ATRX_DELETION	SAMPLE	STRING	ATRX Deletion	ATRX Deletion	1				
ATRX_SOMATIC	SAMPLE	STRING	ATRX Somatic Mutation	ATRX Somatic Mutation	1				
ATRX_STATUS	SAMPLE	STRING	ATRX status	ATRX status	1				
ATR_MUTATION_STATUS	SAMPLE	STRING	ATR Mutation Status	ATR Mutation Status	1				
ATYPICAL_MITOTIC_FIGURES	PATIENT	STRING	Atypical Mitotic Figures	Atypical Mitotic Figures	1				
AT_PROCUREMENT_PROTHROMBIN_TIME_INR	PATIENT	NUMBER	Laboratory procedure prothrombin time result value	Laboratory procedure prothrombin time result value	1				
AURKA_FISH	SAMPLE	STRING	AURKA FISH	AURKA FISH	1				
AVERAGE_SAMPLE_ALLELE_FREQUENCY	SAMPLE	STRING	Average Sample Allele Frequency	Average Sample Allele Frequency	1				
AVE_DNA_PURITY	SAMPLE	NUMBER	Average DNA Purity	Average DNA Purity	1				
AVE_PLOIDY	SAMPLE	NUMBER	Average ploidy	Average Ploidy	1				
AVE_RNA_PURITY	SAMPLE	NUMBER	Average RNA Purity	Average RNA Purity	1				
AVG_CN_12Q13_15	SAMPLE	STRING	avg CN 12q13~15	avg CN 12q13~15	1				
A_C	SAMPLE	STRING	A>C	A>C	1				
A_G	SAMPLE	STRING	A>G	A>G	1				
A_T	SAMPLE	STRING	A>T	A>T	1				
BAIT_VERSION	SAMPLE	STRING	Bait Version	Bait Version	1				
BAP1_LOSS	SAMPLE	STRING	BAP1 Loss	BAP1 Loss	1				
BARRETTS_ESOPHAGUS	PATIENT	STRING	Barretts esophagus.	Barretts Esophagus	1				
BASELINE_BIOPSY_SITE	SAMPLE	STRING	Baseline Biopsy site	Baseline Biopsy site	1				
BASELINE_CNS_DISEASE	PATIENT	STRING	Baseline CNS Disease	Baseline CNS Disease	1				
BASELINE_EXTRAMEDULLARY_DISEASE	PATIENT	STRING	Baseline Extramedullary Disease	Baseline Extramedullary Disease	1				
BASOPHILS_COUNT	SAMPLE	NUMBER	Basophils Cell Count	Basophils Cell Count	1				
BATCH_NUMBER	SAMPLE	STRING	Batch number.	Batch Number	1				
BCFI_MONTHS	PATIENT	STRING	Breast Cancer-Free Interval Months (BCFI Months)	Breast Cancer-Free Interval Months	1				
BCFI_STATUS	PATIENT	STRING	Breast Cancer-Free Interval Status	Breast Cancer-Free Interval Status	1				
BCL2_BA	PATIENT	STRING	BCL2 Break Apart	BCL2 Break Apart	1				
BCL2_REAR	PATIENT	STRING	BCL2 Rearrangements	BCL2 Rearrangements	1				
BCL6_BA	PATIENT	STRING	BCL6 Break Apart	BCL6 Break Apart	1				
BCL6_REAR	PATIENT	STRING	BCL6 Rearrangements	BCL6 Rearrangements	1				
BCL6_STATUS	SAMPLE	STRING	BCL6 Status	BCL6 Status	1				
BCLC_STAGE	PATIENT	STRING	BCLC Stage	BCLC Stage	1				
BCR_ABL1_STATUS	SAMPLE	STRING	BCR ABL1 status	BCR ABL1 Status	1				
BCR_ABL_P190_NEGATIVE	SAMPLE	STRING	Negative for BCR-ABL(p190)	Negative for BCR-ABL(p190)	1				
BCR_ABL_P190_POSITIVE	SAMPLE	STRING	Positive for BCR-ABL(p190)	Positive for BCR-ABL(p190)	1				
BCR_ABL_P210_NEGATIVE	SAMPLE	STRING	Negative for BCL-ABL(p210)	Negative for BCL-ABL(p210)	1				
BCR_ABL_P210_POSITIVE	SAMPLE	STRING	Positive for BCL-ABL(p210)	Positive for BCL-ABL(p210)	1				
BCR_FOLLOWUP_BARCODE	PATIENT	STRING	BCR Followup Barcode	BCR Followup Barcode	1				
BCR_FOLLOWUP_UUID	PATIENT	STRING	BCR Followup UUID	BCR Followup UUID	1				
BCR_FREE_MONTHS	PATIENT	NUMBER	BCR Free Time in months	BCR Free Months	1				
BCR_PATIENT_BARCODE	PATIENT	STRING	BCR Patient Barcode	BCR Patient Barcode	1				
BCR_PATIENT_UUID	PATIENT	STRING	BCR patient uuid	BCR patient uuid	1				
BCR_SAMPLE_UUID	SAMPLE	STRING	BCR sample uuid	BCR sample uuid	1				
BCR_STATUS	PATIENT	STRING	BCR status.	BCR Status	1				
BCR_TREATMENT_BARCODE	PATIENT	STRING	BCR Treatment Barcode	BCR Treatment Barcode	1				
BEST_ORR	PATIENT	STRING	Best objective response rate	Best objective response rate	1				
BEST_RANO_RESPONSE	PATIENT	STRING	Best Response Assessment in Neuro-Oncology Criteria (RANO) Response	Best RANO Response	1				
BEST_RESPONSE_TO_ALKYLATING_AGENT	PATIENT	STRING	Best response to alkylating agent (temozolomide or dacarbazine)	Best response to alkylating agent (temozolomide or dacarbazine)	1				
BEST_RESPONSE_TO_EVEROLIMUS	PATIENT	STRING	Best response to everolimus	Best response to everolimus	1				
BEST_RESPONSE_TO_PLATINUM	PATIENT	STRING	Best response to platinum	Best response to platinum	1				
BEST_RESPONSE_TO_SUNITINIB	PATIENT	STRING	Best response to Sunitinib	Best response to Sunitinib	1				
BEST_RESPONSE_TO_THERAPY	PATIENT	STRING	Best Response to Therapy	Best Response to Therapy	1				
BETA_HCG_LEVELS	SAMPLE	STRING	Beta HCG Levels	Beta HCG Levels	1				
BIC_FILE_SAMPLE_ID	SAMPLE	STRING	BIC File Sample ID	BIC File Sample ID	1				
BIC_PATIENT_ID	PATIENT	STRING	BIC Patient ID	BIC Patient ID	1				
BILATERAL	PATIENT	STRING	Bilateral	Bilateral	1				
BILATERAL_DIAGNOSIS_TIMING_TYPE	SAMPLE	STRING	Bilateral Diagnosis Timing Type	Bilateral Diagnosis Timing Type	1				
BILIRUBIN_TOTAL	SAMPLE	STRING	Bilirubin Total	Bilirubin Total	1				
BILIRUBIN_TOTAL_NORMAL_RANGE_LOWER	PATIENT	NUMBER	Bilirubin Total Norm Range Lower	Bilirubin Total Norm Range Lower	1				
BILIRUBIN_TOTAL_NORMAL_RANGE_UPPER	PATIENT	NUMBER	Bilirubin Total Norm Range Upper	Bilirubin Total Norm Range Upper	1				
BILIRUBIN_TOTAL_NORM_RANGE_LOWER	SAMPLE	NUMBER	Bilirubin Total Norm Range Lower	Bilirubin Total Norm Range Lower	1				
BILIRUBIN_TOTAL_NORM_RANGE_UPPER	SAMPLE	NUMBER	Bilirubin Total Norm Range Upper	Bilirubin Total Norm Range Upper	1				
