enst_id	ensp_id	uniprot_protein_length	Final_mapping_uniprot_id	Gene_Symbol
ENST00000360423	ENSP00000353600	295	P0DMN0	SULT1A4
ENST00000362074	ENSP00000354929	236	Q7Z3S9	NOTCH2NLA
ENST00000374312	ENSP00000363431	375	P50391	NPY4R
ENST00000375650	ENSP00000364801	641	P0DMV9	HSPA1B
ENST00000375651	ENSP00000364802	641	P0DMV8	HSPA1A
ENST00000390265	ENSP00000374800	117	P01593	IGKV1D-33
ENST00000391418	ENSP00000375237	128	P0C7H8	KRTAP2-3
ENST00000394015	ENSP00000377583	128	Q9BYR9	KRTAP2-4
ENST00000400079	ENSP00000382951	79	P0DP74	DEFB130A
ENST00000400113	ENSP00000382982	450	P0DPH7	TUBA3C
ENST00000410005	ENSP00000386791	251	B9A014	FAM243A
ENST00000413601	ENSP00000404432	117	P0CW20	LIMS4
ENST00000419165	ENSP00000456121	45	P0CG35	TMSB15B
ENST00000428845	ENSP00000406407	308	P0CW01	TSPY10
ENST00000437679	ENSP00000405165	117	P0CW19	LIMS3
ENST00000437818	ENSP00000392568	79	P0DP73	DEFB130B
ENST00000439682	ENSP00000457689	544	A0A0A6YYL3	POTEB
ENST00000440483	ENSP00000406010	308	P0CV98	TSPY3
ENST00000448155	ENSP00000406382	117	P04432	IGKV1D-39
ENST00000450895	ENSP00000397039	139	A8MWV9	SMIM34A
ENST00000453166	ENSP00000393492	120	P01615	IGKV2D-28
ENST00000454856	ENSP00000456953	544	H3BUK9	POTEB2
ENST00000465170	ENSP00000417427	117	A0A075B6S9	IGKV1-37
ENST00000473726	ENSP00000420020	117	P01594	IGKV1-33
ENST00000482769	ENSP00000419353	120	A0A075B6P5	IGKV2-28
ENST00000498574	ENSP00000419058	117	P01597	IGKV1-39
ENST00000509129	ENSP00000425962	117	P0DSN7	IGKV1D-37
ENST00000525596	ENSP00000435325	369	P0DM63	NPIPA8
ENST00000528972	ENSP00000436580	279	P0DMB1	PRR23D2
ENST00000530217	ENSP00000431814	369	E9PJI5	NPIPA7
ENST00000533250	ENSP00000436891	279	E9PI22	PRR23D1
ENST00000543226	ENSP00000442778	140	P0DI82	TRAPPC2B
ENST00000562386	ENSP00000457445	114	A0A0J9YXY3	TRBV6-2
ENST00000564083	ENSP00000457823	114	P0DPF7	TRBV6-3
ENST00000576178	ENSP00000458652	375	P0DQD5	NPY4R2
ENST00000581164	ENSP00000463419	164	A0A075B759	PPIAL4E
ENST00000603660	ENSP00000474524	117	P01768	IGHV3-30
ENST00000000233	ENSP00000000233	180	P84085	ARF5
ENST00000000412	ENSP00000000412	277	P20645	M6PR
ENST00000000442	ENSP00000000442	423	P11474	ESRRA
ENST00000001008	ENSP00000001008	459	Q02790	FKBP4
ENST00000001146	ENSP00000001146	512	Q9NR63	CYP26B1
ENST00000002125	ENSP00000002125	441	Q7L592	NDUFAF7
ENST00000002165	ENSP00000002165	467	Q9BTY2	FUCA2
ENST00000002501	ENSP00000002501	158	Q9H9R9	DBNDD1
ENST00000002596	ENSP00000002596	307	O14792	HS3ST1
ENST00000002829	ENSP00000002829	785	Q13275	SEMA3F
ENST00000003084	ENSP00000003084	1480	P13569	CFTR
ENST00000003302	ENSP00000003302	1077	Q96RU2	USP28
ENST00000004103	ENSP00000004103	235	Q96HP8	TMEM176A
ENST00000004921	ENSP00000004921	89	P55774	CCL18
ENST00000004980	ENSP00000004980	644	Q9P0U3	SENP1
ENST00000004982	ENSP00000004982	160	O14558	HSPB6
ENST00000005178	ENSP00000005178	411	Q16654	PDK4
ENST00000005180	ENSP00000005180	94	Q9Y258	CCL26
ENST00000005257	ENSP00000005257	206	P11233	RALA
ENST00000005259	ENSP00000005259	241	Q9UHQ4	BCAP29
ENST00000005260	ENSP00000005260	511	Q9UHR4	BAIAP2L1
ENST00000005284	ENSP00000005284	315	O60359	CACNG3
ENST00000005340	ENSP00000005340	736	O14641	DVL2
ENST00000005386	ENSP00000005386	665	Q9H6T3	RPAP3
ENST00000005558	ENSP00000005558	451	O00458	IFRD1
ENST00000005756	ENSP00000005756	317	O95045	UPP2
ENST00000005995	ENSP00000005995	314	Q9Y6M0	PRSS21
ENST00000006015	ENSP00000006015	313	P31270	HOXA11
ENST00000006053	ENSP00000006053	397	P78423	CX3CL1
ENST00000006724	ENSP00000006724	265	Q14002	CEACAM7
ENST00000006750	ENSP00000006750	229	P40259	CD79B
ENST00000006777	ENSP00000006777	364	Q6NTF9	RHBDD2
ENST00000007264	ENSP00000007264	312	Q9UJJ7	RPUSD1
ENST00000007390	ENSP00000007390	312	Q9UJK0	TSR3
ENST00000007414	ENSP00000007414	842	Q9BZF2	OSBPL7
ENST00000007510	ENSP00000007510	1287	O14559	ARHGAP33
ENST00000007516	ENSP00000007516	156	O14561	NDUFAB1
ENST00000007699	ENSP00000007699	364	Q9Y2T7	YBX2
ENST00000007735	ENSP00000007735	404	O76009	KRT33A
ENST00000007969	ENSP00000007969	343	Q53EV4	LRRC23
ENST00000008391	ENSP00000008391	452	Q7Z6R9	TFAP2D
ENST00000008527	ENSP00000008527	586	Q16526	CRY1
ENST00000008938	ENSP00000008938	196	O75594	PGLYRP1
ENST00000009041	ENSP00000009041	234	O95772	STARD3NL
ENST00000009105	ENSP00000009105	476	Q96NX5	CAMK1G
ENST00000009180	ENSP00000009180	228	P21926	CD9
ENST00000009530	ENSP00000009530	296	P04233	CD74
ENST00000009589	ENSP00000009589	119	P60866	RPS20
ENST00000010132	ENSP00000010132	520	Q9NR20	DYRK4
ENST00000010404	ENSP00000010404	155	P10620	MGST1
ENST00000011292	ENSP00000011292	419	P15085	CPA1
ENST00000011473	ENSP00000011473	259	Q16563	SYPL1
ENST00000011619	ENSP00000011619	729	Q96S59	RANBP9
ENST00000011653	ENSP00000011653	458	P01730	CD4
ENST00000011684	ENSP00000011684	790	Q3KR16	PLEKHG6
ENST00000011691	ENSP00000011691	77	Q9UHA2	SS18L2
ENST00000011898	ENSP00000011898	239	O75954	TSPAN9
ENST00000012049	ENSP00000012049	382	Q9NXS2	QPCTL
ENST00000012134	ENSP00000012134	2446	P31629	HIVEP2
ENST00000012443	ENSP00000012443	499	P53041	PPP5C
ENST00000013070	ENSP00000013070	425	Q8N806	UBR7
ENST00000013125	ENSP00000013125	846	Q9Y4K4	MAP4K5
ENST00000013222	ENSP00000013222	263	O95050	INMT
ENST00000014914	ENSP00000014914	357	Q8NFJ5	GPRC5A
ENST00000014930	ENSP00000014930	189	Q9NRV9	HEBP1
ENST00000014935	ENSP00000014935	302	P49184	DNASE1L1
ENST00000016171	ENSP00000016171	410	Q7KZN9	COX15
ENST00000016913	ENSP00000016913	267	Q9NXJ0	MS4A12
ENST00000016946	ENSP00000016946	1765	Q99666	RGPD5
ENST00000017003	ENSP00000017003	865	Q9H1B5	XYLT2
ENST00000019103	ENSP00000019103	440	P47872	SCTR
ENST00000019317	ENSP00000019317	655	Q15311	RALBP1
ENST00000020673	ENSP00000020673	1024	A5PKW4	PSD
ENST00000020926	ENSP00000020926	426	Q7L8C5	SYT13
ENST00000020945	ENSP00000020945	268	O43623	SNAI2
ENST00000022615	ENSP00000022615	283	Q9Y277	VDAC3
ENST00000023064	ENSP00000023064	487	P82251	SLC7A9
ENST00000023897	ENSP00000023897	456	P14867	GABRA1
ENST00000023939	ENSP00000023939	306	Q9BY42	RTF2
ENST00000025008	ENSP00000025008	1594	Q8TDY2	RB1CC1
ENST00000025301	ENSP00000025301	1901	Q9UKA4	AKAP11
ENST00000026218	ENSP00000026218	760	Q9BRB3	PIGQ
ENST00000027335	ENSP00000027335	832	Q12864	CDH17
ENST00000029410	ENSP00000029410	327	Q9UBV7	B4GALT7
ENST00000033079	ENSP00000033079	915	Q9NYF5	FAM13B
ENST00000035307	ENSP00000035307	772	Q9P2E5	CHPF2
ENST00000035383	ENSP00000035383	1537	Q96NW7	LRRC7
ENST00000037243	ENSP00000037243	117	P60520	GABARAPL2
ENST00000037502	ENSP00000037502	504	Q99972	MYOC
ENST00000037869	ENSP00000037869	138	Q96C01	FAM136A
ENST00000038176	ENSP00000038176	917	Q92636	NSMAF
ENST00000039007	ENSP00000039007	354	P00480	OTC
ENST00000039989	ENSP00000039989	1141	Q96AE7	TTC17
ENST00000040584	ENSP00000040584	242	P31273	HOXC8
ENST00000040663	ENSP00000040663	369	Q9BV20	MRI1
ENST00000040738	ENSP00000040738	3051	Q8NFC6	BOD1L1
ENST00000040877	ENSP00000040877	1621	Q13395	TARBP1
ENST00000042931	ENSP00000042931	509	Q8NFU1	BEST2
ENST00000043402	ENSP00000043402	473	Q9BZR6	RTN4R
ENST00000044462	ENSP00000044462	261	P25789	PSMA4
ENST00000045083	ENSP00000045083	946	Q96MK2	RIPOR3
ENST00000046087	ENSP00000046087	351	Q9BS86	ZPBP
ENST00000046640	ENSP00000046640	367	O60931	CTNS
ENST00000046794	ENSP00000046794	533	Q13094	LCP2
ENST00000052754	ENSP00000052754	359	P07585	DCN
ENST00000053243	ENSP00000053243	184	Q02223	TNFRSF17
ENST00000053468	ENSP00000053468	201	P82664	MRPS10
ENST00000053469	ENSP00000053469	201	P43080	GUCA1A
ENST00000053867	ENSP00000053867	593	P28799	GRN
ENST00000054650	ENSP00000054650	239	Q8WTV1	THAP3
ENST00000054666	ENSP00000054666	100	Q15836	VAMP3
ENST00000054950	ENSP00000054950	331	Q15293	RCN1
ENST00000055077	ENSP00000055077	354	P35250	RFC2
ENST00000055335	ENSP00000055335	799	Q6ZSY5	PPP1R3F
ENST00000055682	ENSP00000055682	1516	Q5QGS0	NEXMIF
ENST00000056217	ENSP00000056217	1597	Q12774	ARHGEF5
ENST00000056233	ENSP00000056233	694	Q9Y4A8	NFE2L3
ENST00000057513	ENSP00000057513	325	Q96KP6	TNIP3
ENST00000060969	ENSP00000060969	207	Q9BRV8	SIKE1
ENST00000061240	ENSP00000061240	1013	O43897	TLL1
ENST00000062104	ENSP00000062104	81	Q16517	NNAT
ENST00000064571	ENSP00000064571	201	Q9NTU7	CBLN4
ENST00000064724	ENSP00000064724	207	O75508	CLDN11
ENST00000064778	ENSP00000064778	244	Q92567	FAM168A
ENST00000064780	ENSP00000064780	430	Q969Z4	RELT
ENST00000066544	ENSP00000066544	824	P30260	CDC27
ENST00000070846	ENSP00000070846	881	Q99959	PKP2
ENST00000072516	ENSP00000072516	570	Q9NPH3	IL1RAP
ENST00000072644	ENSP00000072644	306	Q9Y548	YIPF1
ENST00000072869	ENSP00000072869	626	Q7Z695	ADCK2
ENST00000074304	ENSP00000074304	977	Q96PE3	INPP4A
ENST00000075120	ENSP00000075120	496	P11169	SLC2A3
ENST00000075322	ENSP00000075322	863	Q13822	ENPP2
ENST00000075503	ENSP00000075503	422	Q6J9G0	STYK1
ENST00000078429	ENSP00000078429	359	P29992	GNA11
ENST00000078445	ENSP00000078445	461	Q68CJ9	CREB3L3
ENST00000078527	ENSP00000078527	493	Q9NUD9	PIGV
ENST00000081029	ENSP00000081029	323	P82673	MRPS35
ENST00000083182	ENSP00000083182	585	Q92624	APPBP2
ENST00000084798	ENSP00000084798	328	O75493	CA11
ENST00000085219	ENSP00000085219	847	P20273	CD22
ENST00000086933	ENSP00000086933	205	O15499	GSC2
ENST00000155093	ENSP00000155093	801	P08048	ZFY
ENST00000155840	ENSP00000155840	676	P51787	KCNQ1
ENST00000155858	ENSP00000155858	1165	Q9NZQ8	TRPM5
ENST00000155926	ENSP00000155926	343	Q92519	TRIB2
ENST00000156084	ENSP00000156084	571	Q96G74	OTUD5
ENST00000156109	ENSP00000156109	476	Q92917	GPKOW
ENST00000156471	ENSP00000156471	1485	O60306	AQR
ENST00000156499	ENSP00000156499	267	Q9P0G3	KLK14
ENST00000156626	ENSP00000156626	600	Q9NSC7	ST6GALNAC1
ENST00000156825	ENSP00000156825	291	O95983	MBD3
ENST00000157600	ENSP00000157600	365	Q9NZU5	LMCD1
ENST00000157812	ENSP00000157812	418	P43686	PSMC4
ENST00000158009	ENSP00000158009	324	Q8TC99	FNDC8
ENST00000158762	ENSP00000158762	740	Q15027	ACAP1
ENST00000158771	ENSP00000158771	239	Q9GZP9	DERL2
ENST00000159060	ENSP00000159060	568	Q9HBY0	NOX3
ENST00000159087	ENSP00000159087	1232	Q9HCE9	ANO8
ENST00000159111	ENSP00000159111	1096	O94953	KDM4B
ENST00000160262	ENSP00000160262	547	P32942	ICAM3
ENST00000160298	ENSP00000160298	1249	Q9P1Y5	CAMSAP3
ENST00000160373	ENSP00000160373	1663	Q8WZ74	CTTNBP2
ENST00000160382	ENSP00000160382	426	O94805	ACTL6B
ENST00000160827	ENSP00000160827	665	Q14807	KIF22
ENST00000161006	ENSP00000161006	317	Q9GZN4	PRSS22
ENST00000161559	ENSP00000161559	526	P13688	CEACAM1
ENST00000161863	ENSP00000161863	1430	Q9H6S0	YTHDC2
ENST00000162044	ENSP00000162044	479	Q9NX61	TMEM161A
ENST00000162330	ENSP00000162330	870	P56945	BCAR1
ENST00000162391	ENSP00000162391	574	Q9P0K8	FOXJ2
ENST00000162749	ENSP00000162749	455	P19438	TNFRSF1A
ENST00000163416	ENSP00000163416	731	Q8TBA6	GOLGA5
ENST00000164024	ENSP00000164024	3312	Q9NYQ7	CELSR3
ENST00000164133	ENSP00000164133	497	Q15173	PPP2R5B
ENST00000164139	ENSP00000164139	842	P11217	PYGM
ENST00000164227	ENSP00000164227	454	P20749	BCL3
ENST00000164247	ENSP00000164247	367	Q13303	KCNAB2
ENST00000164305	ENSP00000164305	554	Q92521	PIGB
ENST00000164640	ENSP00000164640	769	Q76G19	PDZD4
ENST00000165524	ENSP00000165524	87	P81277	PRLH
ENST00000165698	ENSP00000165698	201	Q9H902	REEP1
ENST00000166139	ENSP00000166139	263	O95633	FSTL3
ENST00000166244	ENSP00000166244	1005	P29322	EPHA8
ENST00000166345	ENSP00000166345	432	Q15645	TRIP13
ENST00000166534	ENSP00000166534	535	O15460	P4HA2
ENST00000167106	ENSP00000167106	365	Q7L8A9	VASH1
ENST00000167586	ENSP00000167586	472	P02533	KRT14
ENST00000167588	ENSP00000167588	424	P35900	KRT20
ENST00000168148	ENSP00000168148	211	Q13103	SPP2
ENST00000168216	ENSP00000168216	261	Q99714	HSD17B10
ENST00000168712	ENSP00000168712	206	P08620	FGF4
ENST00000168977	ENSP00000168977	230	Q9NPI5	NMRK2
ENST00000169298	ENSP00000169298	406	P15907	ST6GAL1
ENST00000169551	ENSP00000169551	248	Q9BVV7	TIMM21
ENST00000170150	ENSP00000170150	458	Q8N4F0	BPIFB2
ENST00000170168	ENSP00000170168	1221	Q8N1G1	REXO1
ENST00000170447	ENSP00000170447	416	Q9H000	MKRN2
ENST00000170564	ENSP00000170564	931	Q9BRR8	GPATCH1
ENST00000170630	ENSP00000170630	825	P24394	IL4R
ENST00000171111	ENSP00000171111	624	Q14145	KEAP1
ENST00000171214	ENSP00000171214	311	Q9NYR8	RDH8
ENST00000171757	ENSP00000171757	339	O00398	P2RY10
ENST00000171887	ENSP00000171887	1735	Q9HBL0	TNS1
ENST00000172229	ENSP00000172229	427	P08138	NGFR
ENST00000173229	ENSP00000173229	604	O95631	NTN1
ENST00000173527	ENSP00000173527	298	Q96CN7	ISOC1
ENST00000173898	ENSP00000173898	1431	Q12816	TRO
ENST00000174618	ENSP00000174618	582	Q99583	MNT
ENST00000174653	ENSP00000174653	418	P53677	AP3M2
ENST00000175091	ENSP00000175091	233	Q15012	LAPTM4A
ENST00000175238	ENSP00000175238	754	Q9H2U9	ADAM7
ENST00000175506	ENSP00000175506	561	P08243	ASNS
ENST00000175756	ENSP00000175756	460	Q99952	PTPN18
ENST00000176183	ENSP00000176183	419	P21917	DRD4
ENST00000176195	ENSP00000176195	121	P09683	SCT
ENST00000176643	ENSP00000176643	485	P51648	ALDH3A2
ENST00000176763	ENSP00000176763	968	O94804	STK10
ENST00000177648	ENSP00000177648	1244	Q96QP1	ALPK1
ENST00000177694	ENSP00000177694	535	Q9UL17	TBX21
ENST00000178638	ENSP00000178638	354	O43570	CA12
ENST00000178640	ENSP00000178640	448	Q13163	MAP2K5
ENST00000179259	ENSP00000179259	270	Q9NQ88	TIGAR
ENST00000180166	ENSP00000180166	211	Q9NP95	FGF20
ENST00000180173	ENSP00000180173	660	Q9Y216	MTMR7
ENST00000181383	ENSP00000181383	423	Q96IY4	CPB2
ENST00000181839	ENSP00000181839	1512	Q14004	CDK13
ENST00000182290	ENSP00000182290	320	Q96QS1	TSPAN32
ENST00000182377	ENSP00000182377	515	Q96K12	FAR2
ENST00000182527	ENSP00000182527	370	Q15035	TRAM2
ENST00000183605	ENSP00000183605	261	P56856	CLDN18
ENST00000184183	ENSP00000184183	212	Q9HAT0	ROPN1
ENST00000184266	ENSP00000184266	129	O95168	NDUFB4
ENST00000184956	ENSP00000184956	1181	Q6AI08	HEATR6
ENST00000185150	ENSP00000185150	483	Q96DZ1	ERLEC1
ENST00000185206	ENSP00000185206	410	Q9NZA1	CLIC5
ENST00000186436	ENSP00000186436	1883	Q92545	TMEM131
ENST00000187397	ENSP00000187397	812	Q9UBL0	ARPP21
ENST00000187762	ENSP00000187762	299	Q9H6F2	TMEM38A
ENST00000187879	ENSP00000187879	451	Q9UK12	ZNF222
ENST00000188312	ENSP00000188312	396	Q9GZN1	ACTR6
ENST00000188790	ENSP00000188790	760	Q12884	FAP
ENST00000190165	ENSP00000190165	472	Q9NQL9	DMRT3
ENST00000190611	ENSP00000190611	934	Q9BZF3	OSBPL6
ENST00000190983	ENSP00000190983	250	O76076	CCN5
ENST00000191018	ENSP00000191018	480	P10619	CTSA
ENST00000192314	ENSP00000192314	398	Q9H3Q3	GAL3ST2
ENST00000192788	ENSP00000192788	1440	Q6BDS2	UHRF1BP1
ENST00000193322	ENSP00000193322	334	Q86WC4	OSTM1
ENST00000193391	ENSP00000193391	1241	Q9BZV3	IMPG2
ENST00000193403	ENSP00000193403	892	P12814	ACTN1
ENST00000194097	ENSP00000443944	1403	Q13075	NAIP
ENST00000194118	ENSP00000194118	515	Q14154	DELE1
ENST00000194130	ENSP00000194130	595	Q9BZW2	SLC13A1
ENST00000194152	ENSP00000194152	795	Q9Y5E5	PCDHB4
ENST00000194155	ENSP00000194155	798	Q9Y5E7	PCDHB2
ENST00000194214	ENSP00000194214	144	Q9Y547	HSPB11
ENST00000194530	ENSP00000194530	418	Q9C0K7	STRADB
ENST00000195455	ENSP00000195455	93	Q99440	LINC01587
ENST00000196061	ENSP00000196061	727	Q02809	PLOD1
ENST00000196169	ENSP00000196169	651	Q9H7E2	TDRD3
ENST00000196371	ENSP00000196371	520	P55809	OXCT1
ENST00000196482	ENSP00000196482	553	O75467	ZNF324
ENST00000196489	ENSP00000196489	594	Q9BWM5	ZNF416
ENST00000196548	ENSP00000196548	575	P17098	ZNF8
ENST00000196551	ENSP00000196551	204	P46782	RPS5
ENST00000197268	ENSP00000197268	622	A2RU67	FAM234B
ENST00000198536	ENSP00000198536	303	Q9UKJ1	PILRA
ENST00000198765	ENSP00000198765	537	O75131	CPNE3
ENST00000198767	ENSP00000198767	651	Q9NYV6	RRN3
ENST00000198801	ENSP00000198801	334	Q3SYC2	MOGAT2
ENST00000199280	ENSP00000199280	271	P41181	AQP2
ENST00000199320	ENSP00000199320	313	Q9UNQ2	DIMT1
ENST00000199389	ENSP00000199389	630	Q9BQI3	EIF2AK1
ENST00000199447	ENSP00000199447	588	Q8N427	NME8
ENST00000199448	ENSP00000199448	224	Q9UM22	EPDR1
ENST00000199706	ENSP00000199706	256	Q13084	MRPL28
ENST00000199708	ENSP00000199708	142	P09105	HBQ1
ENST00000199764	ENSP00000199764	344	P40199	CEACAM6
ENST00000199814	ENSP00000199814	420	Q9NW64	RBM22
ENST00000199936	ENSP00000199936	387	P37059	HSD17B2
ENST00000200135	ENSP00000200135	779	O43264	ZW10
ENST00000200181	ENSP00000200181	1822	P16144	ITGB4
ENST00000200453	ENSP00000200453	674	O75807	PPP1R15A
ENST00000200457	ENSP00000200457	476	Q15654	TRIP6
ENST00000200557	ENSP00000200557	769	O75078	ADAM11
ENST00000200639	ENSP00000200639	410	P13473	LAMP2
ENST00000200652	ENSP00000200652	551	Q9H015	SLC22A4
ENST00000200676	ENSP00000200676	493	P11597	CETP
ENST00000200691	ENSP00000200691	68	P25713	MT3
ENST00000201031	ENSP00000201031	450	Q92754	TFAP2C
ENST00000201586	ENSP00000201586	365	O00204	SULT2B1
ENST00000201647	ENSP00000201647	723	Q8TE68	EPS8L1
ENST00000201979	ENSP00000201979	298	O75628	REM1
ENST00000202017	ENSP00000202017	133	Q9NUG6	PDRG1
ENST00000202556	ENSP00000202556	1090	Q96KQ4	PPP1R13B
ENST00000202625	ENSP00000202625	706	O95932	TGM6
ENST00000202677	ENSP00000202677	1873	Q2PPJ7	RALGAPA2
ENST00000202773	ENSP00000202773	288	Q02878	RPL6
ENST00000202816	ENSP00000202816	851	Q9H501	ESF1
ENST00000202831	ENSP00000202831	584	Q6J4K2	SLC8B1
ENST00000202834	ENSP00000202834	120	Q96A57	TMEM230
ENST00000202917	ENSP00000202917	400	P00973	OAS1
ENST00000202967	ENSP00000202967	314	Q9Y6E7	SIRT4
ENST00000203001	ENSP00000203001	497	Q9UJA5	TRMT6
ENST00000203166	ENSP00000439056	633	O94927	HAUS5
ENST00000203407	ENSP00000203407	480	P31930	UQCRC1
ENST00000203556	ENSP00000203556	970	Q9P107	GMIP
ENST00000203629	ENSP00000203629	525	P18627	LAG3
ENST00000203630	ENSP00000203630	248	Q15773	MLF2
ENST00000203664	ENSP00000203664	234	Q96DC9	OTUB2
ENST00000204517	ENSP00000204517	338	Q01664	TFAP4
ENST00000204549	ENSP00000204549	485	Q8N8D1	PDCD7
ENST00000204566	ENSP00000204566	308	Q9NZD8	SPG21
ENST00000204604	ENSP00000204604	955	Q9H2X0	CHRD
ENST00000204615	ENSP00000204615	353	P40225	THPO
ENST00000204679	ENSP00000204679	305	Q9UJJ9	GNPTG
ENST00000204726	ENSP00000204726	1498	Q08378	GOLGA3
ENST00000204961	ENSP00000204961	346	P98172	EFNB1
ENST00000205143	ENSP00000205143	618	Q9NYJ7	DLL3
ENST00000205194	ENSP00000205194	206	Q8WUY8	NAT14
ENST00000205214	ENSP00000205214	1098	Q4L235	AASDH
ENST00000205386	ENSP00000205386	1761	A4D0S4	LAMB4
ENST00000205402	ENSP00000205402	509	P09622	DLD
ENST00000205557	ENSP00000205557	1503	O95255	ABCC6
ENST00000205636	ENSP00000205636	183	Q9NX76	CMTM6
ENST00000205890	ENSP00000205890	3530	Q9UKN7	MYO15A
ENST00000205948	ENSP00000205948	345	P02749	APOH
ENST00000206020	ENSP00000206020	227	O75391	SPAG7
ENST00000206249	ENSP00000206249	595	P03372	ESR1
ENST00000206262	ENSP00000206262	210	Q9UGC6	RGS17
ENST00000206380	ENSP00000206380	257	Q96IK0	TMEM101
ENST00000206423	ENSP00000206423	950	Q76M96	CCDC80
ENST00000206451	ENSP00000206451	249	Q06323	PSME1
ENST00000206474	ENSP00000206474	363	Q9H6D7	HAUS4
ENST00000206513	ENSP00000206513	281	Q15744	CEBPE
ENST00000206542	ENSP00000206542	335	Q9NPF4	OSGEP
ENST00000206544	ENSP00000206544	538	Q8WUG5	SLC22A17
ENST00000206595	ENSP00000206595	706	Q7L622	G2E3
ENST00000206765	ENSP00000206765	817	P22735	TGM1
ENST00000207437	ENSP00000207437	208	P14649	MYL6B
ENST00000207457	ENSP00000207457	430	Q9UIF3	TEKT2
ENST00000207549	ENSP00000207549	1090	Q70J99	UNC13D
ENST00000207870	ENSP00000207870	536	O75191	XYLB
ENST00000209540	ENSP00000209540	355	O60431	OR1I1
ENST00000209665	ENSP00000209665	386	P40394	ADH7
ENST00000209668	ENSP00000209668	375	P07327	ADH1A
ENST00000209718	ENSP00000209718	422	Q9C075	KRT23
ENST00000209728	ENSP00000209728	560	Q99741	CDC6
ENST00000209873	ENSP00000209873	546	Q9NRG9	AAAS
ENST00000209875	ENSP00000209875	191	P45973	CBX5
ENST00000209884	ENSP00000209884	609	Q9Y2M5	KLHL20
ENST00000210060	ENSP00000210060	369	P49366	DHPS
ENST00000210187	ENSP00000210187	256	Q9ULW5	RAB26
ENST00000210313	ENSP00000210313	504	Q16401	PSMD5
ENST00000210444	ENSP00000210444	359	Q9NR45	NANS
ENST00000211076	ENSP00000211076	242	Q9BZJ3	TPSD1
ENST00000211122	ENSP00000211122	222	Q16772	GSTA3
ENST00000211287	ENSP00000211287	365	O15264	MAPK13
ENST00000211314	ENSP00000211314	99	Q9Y6G1	TMEM14A
ENST00000211372	ENSP00000211372	152	P62269	RPS18
ENST00000211402	ENSP00000211402	1264	P26640	VARS
ENST00000211413	ENSP00000211413	306	Q99946	PRRT1
ENST00000211936	ENSP00000211936	751	Q99676	ZNF184
ENST00000211998	ENSP00000211998	1134	P18206	VCL
ENST00000212015	ENSP00000212015	747	Q96EB6	SIRT1
ENST00000212355	ENSP00000212355	851	Q03167	TGFBR3
ENST00000214869	ENSP00000214869	227	Q13445	TMED1
ENST00000215057	ENSP00000215057	734	P28698	MZF1
ENST00000215061	ENSP00000215061	264	Q9H607	OCEL1
ENST00000215071	ENSP00000215071	350	P48556	PSMD8
ENST00000215095	ENSP00000215095	288	P61266	STX1B
ENST00000215115	ENSP00000215115	217	Q8WUZ0	BCL7C
ENST00000215368	ENSP00000215368	213	O43921	EFNA2
ENST00000215375	ENSP00000215375	168	P30049	ATP5F1D
ENST00000215530	ENSP00000215530	170	Q9HCT0	FGF22
ENST00000215531	ENSP00000215531	130	O75264	SMIM24
