Entry	Gene names	Length	Gene names  (ordered locus )	Gene names  (ORF )	Gene names  (primary )	Gene names  (synonym )	Date of last modification	Version (entry)
Q96Q83	ALKBH3 ABH3 DEPC1	286			ALKBH3	ABH3 DEPC1	8/12/20	163
Q96PE2	ARHGEF17 KIAA0337 TEM4	2063			ARHGEF17	KIAA0337 TEM4	8/12/20	150
Q8NBQ7	AQP11 AQPX1 PSEC0027	271		PSEC0027	AQP11	AQPX1	8/12/20	138
Q63HQ0	AP1AR C4orf16 PRO0971	302		PRO0971	AP1AR	C4orf16	8/12/20	135
O60641	SNAP91 KIAA0656	907			SNAP91	KIAA0656	8/12/20	168
Q6NXT1	ANKRD54 LIAR	300			ANKRD54	LIAR	8/12/20	140
Q15327	ANKRD1 C193 CARP HA1A2	319			ANKRD1	C193 CARP HA1A2	8/12/20	155
Q9UHI8	ADAMTS1 KIAA1346 METH1	967			ADAMTS1	KIAA1346 METH1	8/12/20	194
Q96NH3	TBC1D32 BROMI C6orf170 C6orf171	1257			TBC1D32	BROMI C6orf170 C6orf171	8/12/20	138
Q96KE9	BTBD6 BDPL	485			BTBD6	BDPL	8/12/20	149
P49069	CAMLG CAML	296			CAMLG	CAML	8/12/20	159
Q9NYX4	CALY DRD1IP	217			CALY	DRD1IP	8/12/20	145
Q8TD86	CALML6 CAGLP CALGP	181			CALML6	CAGLP CALGP	8/12/20	139
Q5VU97	CACHD1 KIAA1573 VWCD1	1274			CACHD1	KIAA1573 VWCD1	8/12/20	126
Q9UI42	CPA4 CPA3 UNQ694/PRO1339	421		UNQ694/PRO1339	CPA4	CPA3	8/12/20	173
Q96BS2	TESC CHP3	214			TESC	CHP3	8/12/20	155
Q9P2E5	CHPF2 CHSY3 CSGLCAT KIAA1402 UNQ299/PRO339	772		UNQ299/PRO339	CHPF2	CHSY3 CSGLCAT KIAA1402	8/12/20	138
P25774	CTSS	331			CTSS		8/12/20	200
Q9H2X0	CHRD UNQ217/PRO243	955		UNQ217/PRO243	CHRD		8/12/20	154
Q8N8E3	CEP112 CCDC46	955			CEP112	CCDC46	8/12/20	122
Q96JM3	CHAMP1 C13orf8 CAMP CHAMP KIAA1802 ZNF828	812			CHAMP1	C13orf8 CAMP CHAMP KIAA1802 ZNF828	8/12/20	157
Q5VT06	CEP350 CAP350 KIAA0480 GM133	3117		GM133	CEP350	CAP350 KIAA0480	8/12/20	156
Q5BN46	C9orf116	136			C9orf116		8/12/20	105
A8MTB9	CEACAM18	384			CEACAM18		8/12/20	96
Q5T5N4	C6orf118	469			C6orf118		8/12/20	105
Q5MAI5	CDKL4	379			CDKL4		8/12/20	129
Q99467	CD180 LY64 RP105	661			CD180	LY64 RP105	8/12/20	167
Q5T6M2	LINC00242 C6orf122 NCRNA00242	205			LINC00242	C6orf122 NCRNA00242	8/12/20	77
Q9Y5K6	CD2AP	639			CD2AP		8/12/20	189
P51959	CCNG1 CCNG CYCG1	295			CCNG1	CCNG CYCG1	8/12/20	177
Q6P656	CFAP161 C15orf26	301			CFAP161	C15orf26	8/12/20	116
Q8NHQ1	CEP70 BITE	597			CEP70	BITE	8/12/20	156
Q8TCT0	CERK KIAA1646	537			CERK	KIAA1646	8/12/20	158
Q8IUL8	CILP2	1156			CILP2		8/12/20	142
P0C843	LINC00032 C9orf14 NCRNA00032	101			LINC00032	C9orf14 NCRNA00032	8/12/20	37
Q5JTJ3	COA6 C1orf31	125			COA6	C1orf31	8/12/20	129
O75175	CNOT3 KIAA0691 LENG2 NOT3	753			CNOT3	KIAA0691 LENG2 NOT3	8/12/20	174
Q9NPC3	CCNB1IP1 C14orf18 HEI10	277			CCNB1IP1	C14orf18 HEI10	8/12/20	168
Q8N5I9	C12orf45	185			C12orf45		8/12/20	117
Q9H3J6	C12orf65 My030	166		My030	C12orf65		8/12/20	136
A4QN01	LINC01553 C10orf40	128			LINC01553	C10orf40	8/12/20	68
Q9Y271	CYSLTR1 CYSLT1	337			CYSLTR1	CYSLT1	8/12/20	163
Q5VZT2	C10orf113	155			C10orf113		8/12/20	105
Q8N1N0	CLEC4F CLECSF13	589			CLEC4F	CLECSF13	8/12/20	142
Q8N1N5	CRIPAK	446			CRIPAK		8/12/20	111
Q6UUV9	CRTC1 KIAA0616 MECT1 TORC1 WAMTP1	634			CRTC1	KIAA0616 MECT1 TORC1 WAMTP1	8/12/20	147
Q96A22	C11orf52	123			C11orf52		8/12/20	122
P34998	CRHR1 CRFR CRFR1 CRHR	444			CRHR1	CRFR CRFR1 CRHR	8/12/20	203
Q6ZS62	COLCA1 C11orf92	124			COLCA1	C11orf92	8/12/20	86
P28325	CST5	142			CST5		8/12/20	175
Q08477	CYP4F3 LTB4H	520			CYP4F3	LTB4H	8/12/20	191
A4D2H0	CTAGE15 CTAGE15P	777			CTAGE15	CTAGE15P	8/12/20	85
Q07092	COL16A1 FP1572	1604		FP1572	COL16A1		8/12/20	186
A0A1B0GV90	CTXND2	55			CTXND2		8/12/20	15
P81534	DEFB103A BD3 DEFB103 DEFB3; DEFB103B	67	; 	; 	DEFB103A; DEFB103B	BD3 DEFB103 DEFB3; 	8/12/20	170
Q2VPK5	CTU2 C16orf84 NCS2	515			CTU2	C16orf84 NCS2	8/12/20	121
P24310	COX7A1 COX7AH	79			COX7A1	COX7AH	8/12/20	169
P59037	LINC00313 C21orf84 NCRNA00313	77			LINC00313	C21orf84 NCRNA00313	8/12/20	76
P16410	CTLA4 CD152	223			CTLA4	CD152	8/12/20	218
Q9Y6H8	GJA3	435			GJA3		8/12/20	176
Q5SY80	CATSPERE C1orf101	951			CATSPERE	C1orf101	8/12/20	120
A8MYA2	CXorf49; CXorf49B	514	; 	; 	CXorf49; CXorf49B	; 	8/12/20	64
Q12996	CSTF3	717			CSTF3		8/12/20	177
Q7Z7B8	DEFB128 DEFB28	93			DEFB128	DEFB28	8/12/20	100
Q9HBH1	PDF PDF1A	243			PDF	PDF1A	8/12/20	155
Q8WTU0	DDI1	396			DDI1		8/12/20	155
Q9BQT9	CLSTN3 CS3 KIAA0726	956			CLSTN3	CS3 KIAA0726	8/12/20	170
Q15038	DAZAP2 KIAA0058	168			DAZAP2	KIAA0058	8/12/20	161
P31947	SFN HME1	248			SFN	HME1	8/12/20	216
Q13362	PPP2R5C KIAA0044	524			PPP2R5C	KIAA0044	8/12/20	198
P50406	HTR6	440			HTR6		8/12/20	169
Q96I13	ABHD8	439			ABHD8		8/12/20	134
O60239	SH3BP5 SAB	455			SH3BP5	SAB	8/12/20	168
P00519	ABL1 ABL JTK7	1130			ABL1	ABL JTK7	8/12/20	266
P33897	ABCD1 ALD	745			ABCD1	ALD	8/12/20	227
P09972	ALDOC ALDC	364			ALDOC	ALDC	8/12/20	203
P49902	NT5C2 NT5B NT5CP PNT5	561			NT5C2	NT5B NT5CP PNT5	8/12/20	187
Q9NVV5	AIG1 CGI-103	245		CGI-103	AIG1		8/12/20	141
Q9BZC7	ABCA2 ABC2 KIAA1062	2435			ABCA2	ABC2 KIAA1062	8/12/20	167
Q7Z591	AKNA KIAA1968	1439			AKNA	KIAA1968	8/12/20	130
Q9Y2J4	AMOTL2 KIAA0989	779			AMOTL2	KIAA0989	8/12/20	157
Q9UKB5	AJAP1 MOT8 SHREW1	411			AJAP1	MOT8 SHREW1	8/12/20	133
P08319	ADH4	380			ADH4		8/12/20	203
Q68CK6	ACSM2B ACSM2 HYST1046	577		HYST1046	ACSM2B	ACSM2	8/12/20	128
Q9BYV1	AGXT2 AGT2	514			AGXT2	AGT2	8/12/20	158
Q8TCU4	ALMS1 KIAA0328	4168			ALMS1	KIAA0328	8/12/20	159
Q01433	AMPD2	879			AMPD2		8/12/20	190
Q92624	APPBP2 KIAA0228 PAT1	585			APPBP2	KIAA0228 PAT1	8/12/20	172
O15084	ANKRD28 KIAA0379	1053			ANKRD28	KIAA0379	8/12/20	184
P27216	ANXA13 ANX13	316			ANXA13	ANX13	8/12/20	174
Q02410	APBA1 MINT1 X11	837			APBA1	MINT1 X11	8/12/20	185
O15265	ATXN7 SCA7	892			ATXN7	SCA7	8/12/20	192
Q9ULK2	ATXN7L1 ATXN7L4 KIAA1218	861			ATXN7L1	ATXN7L4 KIAA1218	8/12/20	135
Q86Z23	C1QL4 CTRP11	238			C1QL4	CTRP11	8/12/20	123
P35670	ATP7B PWD WC1 WND	1465			ATP7B	PWD WC1 WND	8/12/20	224
P0DP24	CALM2 CAM2 CAMB	149			CALM2	CAM2 CAMB	8/12/20	27
Q86XJ0	CALHM3 FAM26A	344			CALHM3	FAM26A	8/12/20	124
P27797	CALR CRTC	417			CALR	CRTC	8/12/20	240
Q8N187	CARF ALS2CR8	725			CARF	ALS2CR8	8/12/20	131
P43235	CTSK CTSO CTSO2	329			CTSK	CTSO CTSO2	8/12/20	200
Q16543	CDC37 CDC37A	378			CDC37	CDC37A	8/12/20	191
P14384	CPM	443			CPM		8/12/20	200
Q96J87	CELF6 BRUNOL6	481			CELF6	BRUNOL6	8/12/20	154
O15519	CFLAR CASH CASP8AP1 CLARP MRIT	480			CFLAR	CASH CASP8AP1 CLARP MRIT	8/12/20	203
Q6ZU80	CEP128 C14orf145 C14orf61	1094			CEP128	C14orf145 C14orf61	8/12/20	127
O14757	CHEK1 CHK1	476			CHEK1	CHK1	8/12/20	229
Q5JTZ5	C9orf152	239			C9orf152		8/12/20	106
Q96H22	CENPN C16orf60 ICEN32 BM-309	339		BM-309	CENPN	C16orf60 ICEN32	8/12/20	148
Q96N11	C7orf26	449			C7orf26		8/12/20	116
Q9UJX2	CDC23 ANAPC8	597			CDC23	ANAPC8	8/12/20	195
P41208	CETN2 CALT CEN2	172			CETN2	CALT CEN2	8/12/20	206
Q9Y4C5	CHST2 GN6ST	530			CHST2	GN6ST	8/12/20	148
Q9Y6A4	CFAP20 BUG22 C16orf80 GTL3	193			CFAP20	BUG22 C16orf80 GTL3	8/12/20	138
Q9C0A0	CNTNAP4 CASPR4 KIAA1763	1308			CNTNAP4	CASPR4 KIAA1763	8/12/20	174
Q7Z4T9	CFAP91 AAT1 C3orf15 MAATS1	767			CFAP91	AAT1 C3orf15 MAATS1	8/12/20	135
Q9UQ52	CNTN6	1028			CNTN6		8/12/20	149
Q96LI5	CNOT6L CCR4B	555			CNOT6L	CCR4B	8/12/20	156
Q9P003	CNIH4 HSPC163	139		HSPC163	CNIH4		8/12/20	155
P56750	CLDN17 UNQ758/PRO1489	224		UNQ758/PRO1489	CLDN17		8/12/20	143
Q8NCF0	CLEC18C MRLP3	446			CLEC18C	MRLP3	8/12/20	150
Q96DG6	CMBL	245			CMBL		8/12/20	150
Q8N7H1	LINC01465 C12orf61	131			LINC01465	C12orf61	8/12/20	84
Q9H7T3	C10orf95	257			C10orf95		8/12/20	106
Q8NCR9	CLRN3 TMEM12 USH3AL1	226			CLRN3	TMEM12 USH3AL1	8/12/20	124
Q96F05	C11orf24 FP2568 UNQ1872/PRO4315	449		FP2568 UNQ1872/PRO4315	C11orf24		8/12/20	120
Q8NBR9	C11orf72	251			C11orf72		8/12/20	83
Q9H6B4	CLMP ACAM ASAM UNQ318/PRO363	373		UNQ318/PRO363	CLMP	ACAM ASAM	8/12/20	164
Q92478	CLEC2B AICL CLECSF2 IFNRG1	149			CLEC2B	AICL CLECSF2 IFNRG1	8/12/20	157
Q9UFG5	C19orf25	118			C19orf25		8/12/20	121
O15516	CLOCK BHLHE8 KIAA0334	846			CLOCK	BHLHE8 KIAA0334	8/12/20	204
P02489	CRYAA CRYA1 HSPB4	173			CRYAA	CRYA1 HSPB4	8/12/20	214
P15954	COX7C	63			COX7C		8/12/20	175
O95196	CSPG5 CALEB NGC	566			CSPG5	CALEB NGC	8/12/20	164
F2Z3M2	LINC02876 C17orf112	114			LINC02876	C17orf112	8/12/20	48
Q9Y5P2	CSAG2 TRAG3; CSAG3 CSAG3A	127	; 	; 	CSAG2; CSAG3	TRAG3; CSAG3A	8/12/20	130
Q9Y600	CSAD CSD	493			CSAD	CSD	8/12/20	167
C9JDV5	C12orf77	145			C12orf77		8/12/20	55
Q49B96	COX19	90			COX19		8/12/20	117
Q6PUV4	CPLX2	134			CPLX2		8/12/20	125
O75177	SS18L1 CREST KIAA0693	396			SS18L1	CREST KIAA0693	8/12/20	159
P05181	CYP2E1 CYP2E	493			CYP2E1	CYP2E	8/12/20	208
Q96JB2	COG3 SEC34	828			COG3	SEC34	8/12/20	154
P07315	CRYGC CRYG3	174			CRYGC	CRYG3	8/12/20	189
P78358	CTAG1A CTAG CTAG1 ESO1 LAGE2 LAGE2A; CTAG1B LAGE2B	180	; 	; 	CTAG1A; CTAG1B	CTAG CTAG1 ESO1 LAGE2 LAGE2A; LAGE2B	8/12/20	169
A8K830	COLCA2 C11orf93 CASC13	154			COLCA2	C11orf93 CASC13	8/12/20	82
Q9UBT7	CTNNAL1	734			CTNNAL1		8/12/20	145
Q5HYN5	CT45A1 CT45-1	189			CT45A1	CT45-1	8/12/20	100
O95452	GJB6	261			GJB6		8/12/20	171
Q9P2B4	CTTNBP2NL KIAA1433	639			CTTNBP2NL	KIAA1433	8/12/20	142
P25025	CXCR2 IL8RB	360			CXCR2	IL8RB	8/12/20	204
Q8N9T2	NKAPP1 CXorf42	125			NKAPP1	CXorf42	8/12/20	75
Q14155	ARHGEF7 COOL1 KIAA0142 P85SPR PAK3BP PIXB Nbla10314	803		Nbla10314	ARHGEF7	COOL1 KIAA0142 P85SPR PAK3BP PIXB	8/12/20	218
Q9HCE9	ANO8 KIAA1623 TMEM16H	1232			ANO8	KIAA1623 TMEM16H	8/12/20	133
Q5JPF3	ANKRD36C	1778			ANKRD36C		8/12/20	105
Q8NB46	ANKRD52	1076			ANKRD52		8/12/20	144
Q75V66	ANO5 GDD1 TMEM16E	913			ANO5	GDD1 TMEM16E	8/12/20	139
Q9UNK9	ANGEL1 KIAA0759	670			ANGEL1	KIAA0759	8/12/20	131
Q9NQW6	ANLN	1124			ANLN		8/12/20	155
P17342	NPR3 ANPRC C5orf23 NPRC	541			NPR3	ANPRC C5orf23 NPRC	8/12/20	193
O94823	ATP10B ATPVB KIAA0715	1461			ATP10B	ATPVB KIAA0715	8/12/20	177
O00189	AP4M1 MUARP2	453			AP4M1	MUARP2	8/12/20	166
P04114	APOB	4563			APOB		8/12/20	236
Q5U4P2	ASPHD1	390			ASPHD1		8/12/20	120
Q7Z6R9	TFAP2D TFAP2BL1	452			TFAP2D	TFAP2BL1	8/12/20	123
P07355	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	339			ANXA2	ANX2 ANX2L4 CAL1H LPC2D	8/12/20	241
Q9UJX6	ANAPC2 APC2 KIAA1406	822			ANAPC2	APC2 KIAA1406	8/12/20	185
Q8WXI3	ASB10	467			ASB10		8/12/20	157
Q9P1U1	ACTR3B ARP11 ARP4	418			ACTR3B	ARP11 ARP4	8/12/20	155
P61158	ACTR3 ARP3	418			ACTR3	ARP3	8/12/20	169
L0R819	ASDURF	96			ASDURF		8/12/20	47
A6NEK1	ARRDC5	342			ARRDC5		8/12/20	96
O15145	ARPC3 ARC21	178			ARPC3	ARC21	8/12/20	174
Q5TC12	ATPAF1 ATP11	328			ATPAF1	ATP11	8/12/20	96
Q13873	BMPR2 PPH1	1038			BMPR2	PPH1	8/12/20	219
Q6UW01	CBLN3 UNQ755/PRO1486	205		UNQ755/PRO1486	CBLN3		8/12/20	121
Q6ZUS5	CCDC121	278			CCDC121		8/12/20	121
P10147	CCL3 G0S19-1 MIP1A SCYA3	92			CCL3	G0S19-1 MIP1A SCYA3	8/12/20	205
Q3SXR2	C3orf36	165			C3orf36		8/12/20	89
P06881	CALCA CALC1	128			CALCA	CALC1	8/12/20	196
P41180	CASR GPRC2A PCAR1	1078			CASR	GPRC2A PCAR1	8/12/20	211
Q9UEE9	CFDP1 BCNT CENP-29	299			CFDP1	BCNT CENP-29	8/12/20	132
Q8WYQ3	CHCHD10 C22orf16	142			CHCHD10	C22orf16	8/12/20	127
Q8NI28	LINC01006 C7orf13 MY040	216			LINC01006	C7orf13 MY040	8/12/20	96
Q8IWY9	CDAN1 UNQ664/PRO1295	1227		UNQ664/PRO1295	CDAN1		8/12/20	142
Q15078	CDK5R1 CDK5R NCK5A	307			CDK5R1	CDK5R NCK5A	8/12/20	203
Q7Z7K6	CENPV PRR6	275			CENPV	PRR6	8/12/20	139
Q6UWT4	C5orf46 UNQ472/PRO839	87		UNQ472/PRO839	C5orf46		8/12/20	108
P41597	CCR2 CMKBR2	374			CCR2	CMKBR2	8/12/20	204
Q9H2A9	CHST8	424			CHST8		8/12/20	133
Q8N1V2	CFAP52 WDR16 WDRPUH	620			CFAP52	WDR16 WDRPUH	8/12/20	152
Q9NNX6	CD209 CLEC4L	404			CD209	CLEC4L	8/12/20	182
C9J302	C4orf51	202			C4orf51		8/12/20	58
Q9UQ88	CDK11A CDC2L2 CDC2L3 PITSLREB	783			CDK11A	CDC2L2 CDC2L3 PITSLREB	8/12/20	194
Q8IV13	CCNJL	435			CCNJL		8/12/20	134
Q6EIG7	CLEC6A CLECSF10 DECTIN2	209			CLEC6A	CLECSF10 DECTIN2	8/12/20	128
Q9BXN2	CLEC7A BGR CLECSF12 DECTIN1 UNQ539/PRO1082	247		UNQ539/PRO1082	CLEC7A	BGR CLECSF12 DECTIN1	8/12/20	162
P26441	CNTF	200			CNTF		8/12/20	192
H3BRN8	C15orf65	121			C15orf65		8/12/20	50
Q12860	CNTN1	1018			CNTN1		8/12/20	192
O95628	CNOT4 NOT4	575			CNOT4	NOT4	8/12/20	184
P20908	COL5A1	1838			COL5A1		8/12/20	218
O95484	CLDN9	217			CLDN9		8/12/20	146
Q96DZ9	CMTM5 CKLFSF5	223			CMTM5	CKLFSF5	8/12/20	147
Q13098	GPS1 COPS1 CSN1	491			GPS1	COPS1 CSN1	8/12/20	193
Q96PZ7	CSMD1 KIAA1890 UNQ5952/PRO19863	3564		UNQ5952/PRO19863	CSMD1	KIAA1890	8/12/20	155
Q9UBL6	CPNE7	633			CPNE7		8/12/20	155
Q8IUH2	CREG2	290			CREG2		8/12/20	133
Q9NZV1	CRIM1 S52 UNQ1886/PRO4330	1036		UNQ1886/PRO4330	CRIM1	S52	8/12/20	159
Q96LL3	C16orf92	132			C16orf92		8/12/20	113
Q9UGN4	CD300A CMRF35H IGSF12 HSPC083	299		HSPC083	CD300A	CMRF35H IGSF12	8/12/20	164
P23528	CFL1 CFL	166			CFL1	CFL	8/12/20	229
Q5QGZ9	CLEC12A CLL1 DCAL2 MICL	265			CLEC12A	CLL1 DCAL2 MICL	8/12/20	124
Q96A83	COL26A1 EMID2 EMU2	441			COL26A1	EMID2 EMU2	8/12/20	140
Q9P000	COMMD9 HSPC166	198		HSPC166	COMMD9		8/12/20	141
Q16619	CTF1	201			CTF1		8/12/20	152
O15194	CTDSPL C3orf8 NIF1 NIFL SCP3 YA22	276			CTDSPL	C3orf8 NIF1 NIFL SCP3 YA22	8/12/20	154
Q7Z388	DPY19L4	723			DPY19L4		8/12/20	118
Q8NEC5	CATSPER1	780			CATSPER1		8/12/20	152
Q86XQ3	CATSPER3	398			CATSPER3		8/12/20	128
Q9P0K1	ADAM22 MDC2	906			ADAM22	MDC2	8/12/20	189
Q9NUS5	AP5S1 C20orf29	200			AP5S1	C20orf29	8/12/20	128
Q5TZF3	ANKRD45	266			ANKRD45		8/12/20	132
Q9Y4P1	ATG4B APG4B AUTL1 KIAA0943	393			ATG4B	APG4B AUTL1 KIAA0943	8/12/20	184
Q06278	AOX1 AO	1338			AOX1	AO	8/12/20	197
Q9H3M9	ATXN3L ATX3L MJDL	355			ATXN3L	ATX3L MJDL	8/12/20	132
P13637	ATP1A3	1013			ATP1A3		8/12/20	222
P15289	ARSA	507			ARSA		8/12/20	222
Q9NSY1	BMP2K BIKE HRIHFB2017	1161		HRIHFB2017	BMP2K	BIKE	8/12/20	179
P43251	BTD	543			BTD		8/12/20	176
Q86VB7	CD163 M130	1156			CD163	M130	8/12/20	144
Q58F21	BRDT	947			BRDT		8/12/20	139
Q07817	BCL2L1 BCL2L BCLX	233			BCL2L1	BCL2L BCLX	8/12/20	237
